campaign,pair_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
primary,native_ycsb_c_read_zipf-s1-f0-warm-r4-2d,native_ycsb_c_read_zipf,1,warm,0,4,2d,baseline,2d,33,34,native_ycsb_c_read_zipf-s1-f0-warm-r4-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r4-2d:2d,true,true,true,true,3400.55,313.406,0.0,0.0,0.15,476.852
primary,native_ycsb_c_read_zipf-s1-f0-warm-r4-layers_5,native_ycsb_c_read_zipf,1,warm,0,4,layers_5,layers_5,baseline,36,35,native_ycsb_c_read_zipf-s1-f0-warm-r4-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r4-layers_5:layers_5,true,true,true,true,636.971,2670.605,0.0,0.0,0.13,33.342
primary,native_ycsb_c_read_zipf-s1-f0-warm-r4-2e_K10,native_ycsb_c_read_zipf,1,warm,0,4,2e_K10,baseline,2e_K10,37,38,native_ycsb_c_read_zipf-s1-f0-warm-r4-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r4-2e_K10:2e_K10,true,true,true,true,3218.048,305.261,0.0,0.0,0.13,521.094
primary,native_ycsb_c_read_zipf-s1-f0-warm-r4-2f_slru,native_ycsb_c_read_zipf,1,warm,0,4,2f_slru,2f_slru,baseline,40,39,native_ycsb_c_read_zipf-s1-f0-warm-r4-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r4-2f_slru:2f_slru,true,true,true,true,419.224,38.852,0.0,0.0,0.171,103222.952
primary,native_ycsb_c_read_zipf-s1-f0-warm-r5-2d,native_ycsb_c_read_zipf,1,warm,0,5,2d,baseline,2d,41,42,native_ycsb_c_read_zipf-s1-f0-warm-r5-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r5-2d:2d,true,true,true,true,3336.98,158.235,0.0,0.0,0.151,468.466
primary,native_ycsb_c_read_zipf-s1-f0-warm-r5-layers_5,native_ycsb_c_read_zipf,1,warm,0,5,layers_5,layers_5,baseline,44,43,native_ycsb_c_read_zipf-s1-f0-warm-r5-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r5-layers_5:layers_5,true,true,true,true,313.887,2602.617,0.0,0.0,0.13,35.576
primary,native_ycsb_c_read_zipf-s1-f0-warm-r5-2e_K10,native_ycsb_c_read_zipf,1,warm,0,5,2e_K10,2e_K10,baseline,46,45,native_ycsb_c_read_zipf-s1-f0-warm-r5-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r5-2e_K10:2e_K10,true,true,true,true,384.629,2257.321,0.0,0.0,0.13,430.274
primary,native_ycsb_c_read_zipf-s1-f0-warm-r5-2f_slru,native_ycsb_c_read_zipf,1,warm,0,5,2f_slru,2f_slru,baseline,48,47,native_ycsb_c_read_zipf-s1-f0-warm-r5-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r5-2f_slru:2f_slru,true,true,true,true,398.896,36.759,0.0,0.0,0.131,103827.895
primary,native_ycsb_c_read_zipf-s1-f0-warm-r6-2d,native_ycsb_c_read_zipf,1,warm,0,6,2d,baseline,2d,49,50,native_ycsb_c_read_zipf-s1-f0-warm-r6-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r6-2d:2d,true,true,true,true,3339.123,314.508,0.0,0.0,0.141,471.352
primary,native_ycsb_c_read_zipf-s1-f0-warm-r6-layers_5,native_ycsb_c_read_zipf,1,warm,0,6,layers_5,layers_5,baseline,52,51,native_ycsb_c_read_zipf-s1-f0-warm-r6-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r6-layers_5:layers_5,true,true,true,true,311.623,2688.927,0.0,0.0,0.14,35.977
primary,native_ycsb_c_read_zipf-s1-f0-warm-r6-2e_K10,native_ycsb_c_read_zipf,1,warm,0,6,2e_K10,baseline,2e_K10,53,54,native_ycsb_c_read_zipf-s1-f0-warm-r6-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r6-2e_K10:2e_K10,true,true,true,true,3398.274,310.851,0.0,0.0,0.141,502.88
primary,native_ycsb_c_read_zipf-s1-f0-warm-r6-2f_slru,native_ycsb_c_read_zipf,1,warm,0,6,2f_slru,baseline,2f_slru,55,56,native_ycsb_c_read_zipf-s1-f0-warm-r6-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r6-2f_slru:2f_slru,true,true,true,true,3201.346,38.693,0.0,0.0,0.141,103798.01
primary,native_ycsb_c_read_zipf-s1-f0-warm-r7-2d,native_ycsb_c_read_zipf,1,warm,0,7,2d,2d,baseline,58,57,native_ycsb_c_read_zipf-s1-f0-warm-r7-2d:baseline,native_ycsb_c_read_zipf-s1-f0-warm-r7-2d:2d,true,true,true,true,375.492,2142.806,0.0,0.0,0.13,393.956
