campaign,pair_id,block_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
portability_ext,native_ycsb_c_read_zipf-s2-f0-warm-r1-learned_markov_14,block5,native_ycsb_c_read_zipf,2,warm,0,1,learned_markov_14,baseline,learned_markov_14,31,32,native_ycsb_c_read_zipf-s2-f0-warm-r1-learned_markov_14:baseline,native_ycsb_c_read_zipf-s2-f0-warm-r1-learned_markov_14:learned_markov_14,true,true,true,true,3136.268,356.594,0.0,0.0,0.14,73.096
portability_ext,native_ycsb_c_read_zipf-s2-f0-warm-r2-2f_top14,block5,native_ycsb_c_read_zipf,2,warm,0,2,2f_top14,baseline,2f_top14,33,34,native_ycsb_c_read_zipf-s2-f0-warm-r2-2f_top14:baseline,native_ycsb_c_read_zipf-s2-f0-warm-r2-2f_top14:2f_top14,true,true,true,true,232.754,355.582,0.0,0.0,0.131,75.25
portability_ext,native_ycsb_c_read_zipf-s2-f0-warm-r2-learned_markov_14,block5,native_ycsb_c_read_zipf,2,warm,0,2,learned_markov_14,baseline,learned_markov_14,35,36,native_ycsb_c_read_zipf-s2-f0-warm-r2-learned_markov_14:baseline,native_ycsb_c_read_zipf-s2-f0-warm-r2-learned_markov_14:learned_markov_14,true,true,true,true,3158.149,186.698,0.0,0.0,0.14,84.106
portability_ext,native_ycsb_c_read_zipf-s2-f0-standalone-r0-2f_top14,block5,native_ycsb_c_read_zipf,2,standalone,0,0,2f_top14,baseline,2f_top14,37,38,native_ycsb_c_read_zipf-s2-f0-standalone-r0-2f_top14:baseline,native_ycsb_c_read_zipf-s2-f0-standalone-r0-2f_top14:2f_top14,true,true,true,true,129.762,281.414,3249.089,386.018,0.121,73.306
portability_ext,native_ycsb_c_read_zipf-s2-f0-standalone-r0-learned_markov_14,block5,native_ycsb_c_read_zipf,2,standalone,0,0,learned_markov_14,baseline,learned_markov_14,39,40,native_ycsb_c_read_zipf-s2-f0-standalone-r0-learned_markov_14:baseline,native_ycsb_c_read_zipf-s2-f0-standalone-r0-learned_markov_14:learned_markov_14,true,true,true,true,146.743,125.343,3214.254,229.197,0.13,78.265
portability_ext,native_ycsb_c_read_zipf-s2-f0-standalone-r1-2f_top14,block5,native_ycsb_c_read_zipf,2,standalone,0,1,2f_top14,baseline,2f_top14,41,42,native_ycsb_c_read_zipf-s2-f0-standalone-r1-2f_top14:baseline,native_ycsb_c_read_zipf-s2-f0-standalone-r1-2f_top14:2f_top14,true,true,true,true,132.517,287.325,3258.846,386.43,0.13,73.467
portability_ext,native_ycsb_c_read_zipf-s2-f0-standalone-r1-learned_markov_14,block5,native_ycsb_c_read_zipf,2,standalone,0,1,learned_markov_14,learned_markov_14,baseline,44,43,native_ycsb_c_read_zipf-s2-f0-standalone-r1-learned_markov_14:baseline,native_ycsb_c_read_zipf-s2-f0-standalone-r1-learned_markov_14:learned_markov_14,true,true,true,true,292.675,141.874,388.012,227.383,0.15,70.461
portability_ext,native_ycsb_c_read_zipf-s2-f0-standalone-r2-2f_top14,block5,native_ycsb_c_read_zipf,2,standalone,0,2,2f_top14,2f_top14,baseline,46,45,native_ycsb_c_read_zipf-s2-f0-standalone-r2-2f_top14:baseline,native_ycsb_c_read_zipf-s2-f0-standalone-r2-2f_top14:2f_top14,true,true,true,true,131.395,141.574,228.946,2432.349,0.13,74.709
portability_ext,native_ycsb_c_read_zipf-s2-f0-standalone-r2-learned_markov_14,block5,native_ycsb_c_read_zipf,2,standalone,0,2,learned_markov_14,learned_markov_14,baseline,48,47,native_ycsb_c_read_zipf-s2-f0-standalone-r2-learned_markov_14:baseline,native_ycsb_c_read_zipf-s2-f0-standalone-r2-learned_markov_14:learned_markov_14,true,true,true,true,288.217,139.86,384.466,2424.663,0.14,75.13
portability_ext,native_ycsb_c_read_zipf-s3-f0-warm-r0-2f_top14,block5,native_ycsb_c_read_zipf,3,warm,0,0,2f_top14,2f_top14,baseline,50,49,native_ycsb_c_read_zipf-s3-f0-warm-r0-2f_top14:baseline,native_ycsb_c_read_zipf-s3-f0-warm-r0-2f_top14:2f_top14,true,true,true,true,364.779,2328.695,0.0,0.0,0.12,75.13
portability_ext,native_ycsb_c_read_zipf-s3-f0-warm-r0-learned_markov_14,block5,native_ycsb_c_read_zipf,3,warm,0,0,learned_markov_14,learned_markov_14,baseline,52,51,native_ycsb_c_read_zipf-s3-f0-warm-r0-learned_markov_14:baseline,native_ycsb_c_read_zipf-s3-f0-warm-r0-learned_markov_14:learned_markov_14,true,true,true,true,210.902,2388.176,0.0,0.0,0.14,74.649
portability_ext,native_ycsb_c_read_zipf-s3-f0-warm-r1-2f_top14,block5,native_ycsb_c_read_zipf,3,warm,0,1,2f_top14,baseline,2f_top14,53,54,native_ycsb_c_read_zipf-s3-f0-warm-r1-2f_top14:baseline,native_ycsb_c_read_zipf-s3-f0-warm-r1-2f_top14:2f_top14,true,true,true,true,3239.26,295.71,0.0,0.0,0.14,73.868
portability_ext,native_ycsb_c_read_zipf-s3-f0-warm-r1-learned_markov_14,block5,native_ycsb_c_read_zipf,3,warm,0,1,learned_markov_14,learned_markov_14,baseline,56,55,native_ycsb_c_read_zipf-s3-f0-warm-r1-learned_markov_14:baseline,native_ycsb_c_read_zipf-s3-f0-warm-r1-learned_markov_14:learned_markov_14,true,true,true,true,363.016,2305.472,0.0,0.0,0.15,68.688
portability_ext,native_ycsb_c_read_zipf-s3-f0-warm-r2-2f_top14,block5,native_ycsb_c_read_zipf,3,warm,0,2,2f_top14,2f_top14,baseline,58,57,native_ycsb_c_read_zipf-s3-f0-warm-r2-2f_top14:baseline,native_ycsb_c_read_zipf-s3-f0-warm-r2-2f_top14:2f_top14,true,true,true,true,234.036,2277.65,0.0,0.0,0.131,74.799
portability_ext,native_ycsb_c_read_zipf-s3-f0-warm-r2-learned_markov_14,block5,native_ycsb_c_read_zipf,3,warm,0,2,learned_markov_14,baseline,learned_markov_14,59,60,native_ycsb_c_read_zipf-s3-f0-warm-r2-learned_markov_14:baseline,native_ycsb_c_read_zipf-s3-f0-warm-r2-learned_markov_14:learned_markov_14,true,true,true,true,3154.883,302.153,0.0,0.0,0.13,72.435
portability_ext,native_ycsb_c_read_zipf-s3-f0-standalone-r0-2f_top14,block5,native_ycsb_c_read_zipf,3,standalone,0,0,2f_top14,baseline,2f_top14,61,62,native_ycsb_c_read_zipf-s3-f0-standalone-r0-2f_top14:baseline,native_ycsb_c_read_zipf-s3-f0-standalone-r0-2f_top14:2f_top14,true,true,true,true,139.029,229.337,3244.41,386.139,0.21,72.946
portability_ext,native_ycsb_c_read_zipf-s3-f0-standalone-r0-learned_markov_14,block5,native_ycsb_c_read_zipf,3,standalone,0,0,learned_markov_14,learned_markov_14,baseline,64,63,native_ycsb_c_read_zipf-s3-f0-standalone-r0-learned_markov_14:baseline,native_ycsb_c_read_zipf-s3-f0-standalone-r0-learned_markov_14:learned_markov_14,true,true,true,true,302.804,248.302,417.176,382.201,0.12,72.205
portability_ext,native_ycsb_c_read_zipf-s3-f0-standalone-r1-2f_top14,block5,native_ycsb_c_read_zipf,3,standalone,0,1,2f_top14,baseline,2f_top14,65,66,native_ycsb_c_read_zipf-s3-f0-standalone-r1-2f_top14:baseline,native_ycsb_c_read_zipf-s3-f0-standalone-r1-2f_top14:2f_top14,true,true,true,true,289.418,231.35,925.714,389.836,0.13,72.455
portability_ext,native_ycsb_c_read_zipf-s3-f0-standalone-r1-learned_markov_14,block5,native_ycsb_c_read_zipf,3,standalone,0,1,learned_markov_14,learned_markov_14,baseline,68,67,native_ycsb_c_read_zipf-s3-f0-standalone-r1-learned_markov_14:baseline,native_ycsb_c_read_zipf-s3-f0-standalone-r1-learned_markov_14:learned_markov_14,true,true,true,true,287.926,97.532,390.356,2555.728,0.12,74.939
portability_ext,native_ycsb_c_read_zipf-s3-f0-standalone-r2-2f_top14,block5,native_ycsb_c_read_zipf,3,standalone,0,2,2f_top14,2f_top14,baseline,70,69,native_ycsb_c_read_zipf-s3-f0-standalone-r2-2f_top14:baseline,native_ycsb_c_read_zipf-s3-f0-standalone-r2-2f_top14:2f_top14,true,true,true,true,129.561,99.515,224.738,2455.732,0.151,74.339
portability_ext,native_ycsb_c_read_zipf-s3-f0-standalone-r2-learned_markov_14,block5,native_ycsb_c_read_zipf,3,standalone,0,2,learned_markov_14,learned_markov_14,baseline,72,71,native_ycsb_c_read_zipf-s3-f0-standalone-r2-learned_markov_14:baseline,native_ycsb_c_read_zipf-s3-f0-standalone-r2-learned_markov_14:learned_markov_14,true,true,true,true,286.083,85.099,383.133,2355.285,0.13,74.248
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r0-2e_K500,block6,native_ycsb_c_read_uniform,1,warm,0,0,2e_K500,baseline,2e_K500,73,74,native_ycsb_c_read_uniform-s1-f0-warm-r0-2e_K500:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r0-2e_K500:2e_K500,true,true,true,true,3438.451,309.706,0.0,0.0,0.13,2573.41
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r0-2f_top28,block6,native_ycsb_c_read_uniform,1,warm,0,0,2f_top28,baseline,2f_top28,75,76,native_ycsb_c_read_uniform-s1-f0-warm-r0-2f_top28:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r0-2f_top28:2f_top28,true,true,true,true,3259.749,303.135,0.0,0.0,0.13,125.043
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r0-2f_top14,block6,native_ycsb_c_read_uniform,1,warm,0,0,2f_top14,baseline,2f_top14,77,78,native_ycsb_c_read_uniform-s1-f0-warm-r0-2f_top14:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r0-2f_top14:2f_top14,true,true,true,true,3229.152,350.072,0.0,0.0,0.13,72.595
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r0-learned_markov_28,block6,native_ycsb_c_read_uniform,1,warm,0,0,learned_markov_28,baseline,learned_markov_28,79,80,native_ycsb_c_read_uniform-s1-f0-warm-r0-learned_markov_28:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r0-learned_markov_28:learned_markov_28,true,true,true,true,3260.3,227.183,0.0,0.0,0.13,148.356
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r0-learned_markov_14,block6,native_ycsb_c_read_uniform,1,warm,0,0,learned_markov_14,learned_markov_14,baseline,82,81,native_ycsb_c_read_uniform-s1-f0-warm-r0-learned_markov_14:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r0-learned_markov_14:learned_markov_14,true,true,true,true,357.676,2446.866,0.0,0.0,0.22,73.947
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r1-2e_K500,block6,native_ycsb_c_read_uniform,1,warm,0,1,2e_K500,2e_K500,baseline,84,83,native_ycsb_c_read_uniform-s1-f0-warm-r1-2e_K500:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r1-2e_K500:2e_K500,true,true,true,true,392.561,1126.567,0.0,0.0,0.14,2142.178
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r1-2f_top28,block6,native_ycsb_c_read_uniform,1,warm,0,1,2f_top28,baseline,2f_top28,85,86,native_ycsb_c_read_uniform-s1-f0-warm-r1-2f_top28:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r1-2f_top28:2f_top28,true,true,true,true,3175.783,141.784,0.0,0.0,0.13,139.96
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r1-2f_top14,block6,native_ycsb_c_read_uniform,1,warm,0,1,2f_top14,2f_top14,baseline,88,87,native_ycsb_c_read_uniform-s1-f0-warm-r1-2f_top14:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r1-2f_top14:2f_top14,true,true,true,true,367.504,2406.03,0.0,0.0,0.13,74.108
portability_ext,native_ycsb_c_read_uniform-s1-f0-warm-r1-learned_markov_28,block6,native_ycsb_c_read_uniform,1,warm,0,1,learned_markov_28,learned_markov_28,baseline,90,89,native_ycsb_c_read_uniform-s1-f0-warm-r1-learned_markov_28:baseline,native_ycsb_c_read_uniform-s1-f0-warm-r1-learned_markov_28:learned_markov_28,true,true,true,true,364.96,2411.65,0.0,0.0,0.13,125.484
