workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,491.59,2644.44,449.52,1162.09,100.0,392.15,268.85,121.74,,,903.25,612.54,0.0
A,1gb,2d,pread,5,128,469.57,476.66,443.31,14.24,100.0,2218.32,234.16,1984.16,,,2687.89,2453.73,0.0
A,1gb,2e_K10,async,10,128,153.68,3243.38,151.05,1314.77,100.0,420.64,287.58,136.57,,,583.21,296.95,0.0
A,1gb,2e_K10,pread,5,128,152.36,175.11,148.66,11.80,100.0,2996.49,287.68,2734.44,,,3166.36,2906.96,0.0
A,1gb,2e_K500,async,10,128,183.78,4078.08,180.47,1621.33,100.0,1296.17,291.79,1006.59,,,1489.33,1201.58,0.0
A,1gb,2e_K500,pread,5,128,183.72,661.22,182.73,238.37,100.0,20026.31,263.20,19736.90,,,20210.03,19920.62,0.0
A,1gb,2f_slru,async,10,128,101.50,212.93,98.42,60.59,100.0,7540.90,279.13,7282.30,,,7646.11,7392.81,0.0
A,1gb,2f_slru,pread,5,128,98.44,100.72,96.83,1.47,100.0,19329.78,291.08,19038.71,,,19431.03,19139.96,0.0
A,1gb,baseline,baseline,10,128,1343.84,3283.03,1271.57,848.38,0.0,0.00,0.00,0.00,,,1343.84,1343.84,0.0
A,1gb,layers_5,async,10,128,1211.95,8045.27,1147.38,2837.31,100.0,363.01,261.58,100.89,,,1574.96,1312.36,0.0
A,1gb,layers_5,pread,5,128,1239.37,1295.39,1118.32,64.08,100.0,798.40,262.55,537.11,,,2068.61,1778.48,0.0
A,1gb,layers_92,async,10,128,830.28,8069.92,729.59,2911.12,100.0,513.14,271.75,241.74,,,1350.42,1086.49,0.0
A,1gb,layers_92,pread,5,128,841.36,1192.64,812.56,175.53,100.0,8371.87,266.52,8075.39,,,9184.43,8887.95,0.0
A,1gb,leaf_freq_K10,async,10,128,1009.44,1147.23,927.36,75.01,100.0,360.64,265.23,93.67,,,1371.61,1093.83,0.0
A,1gb,leaf_freq_K10,pread,5,128,1008.04,5182.72,985.79,2082.36,100.0,1162.73,261.87,929.61,,,2203.46,1947.89,0.0
A,1gb,leaf_rand_K10,async,10,128,1417.78,10992.22,1240.74,3845.70,100.0,346.56,267.99,82.12,,,1764.07,1498.49,0.0
A,1gb,leaf_rand_K10,pread,5,128,1306.43,1307.70,1265.12,16.52,100.0,1209.33,267.70,941.63,,,2517.19,2249.49,0.0
A,ta,2d,async,10,128,440.65,469.15,413.01,20.42,100.0,396.15,263.67,114.84,,,831.01,561.86,0.0
A,ta,2d,pread,5,128,475.55,492.46,432.68,20.87,100.0,971.75,264.71,739.34,,,1454.18,1213.76,0.0
A,ta,2e_K10,async,10,128,180.57,182.34,177.86,1.31,97.6,379.01,262.50,115.84,,,559.12,296.75,0.0
A,ta,2e_K10,pread,5,128,179.92,184.56,179.26,2.23,100.0,2167.68,264.53,1911.92,,,2347.36,2091.18,0.0
A,ta,2e_K500,async,10,128,195.42,388.84,181.62,85.43,33.5,1044.58,265.37,780.70,,,1265.20,992.17,0.0
