workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
C,orig,leaf_rand_K10,pread,e2e_warm_us,10,93.51,95.65,88.47,98.3,79.78,106.56,10/10,robust,seed01=79.8;seed02=93.6;seed03=90.1;seed04=99.9;seed05=97.8;seed06=85.9;seed07=83.8;seed08=99.8;seed09=106.6;seed10=97.7
C,orig,leaf_rand_K10,pread,first_query_us,10,-2.46,-2.04,-3.84,-1.09,-5.28,0.74,8/10,robust,seed01=-1.6;seed02=0.5;seed03=-5.3;seed04=-4.9;seed05=-0.5;seed06=-1.3;seed07=0.7;seed08=-4.9;seed09=-2.4;seed10=-4.8
C,ta,2d,async,e2e_us,10,-12.82,-10.13,-15.55,-10.36,-20.39,-9.07,10/10,robust,seed01=-17.5;seed02=-18.0;seed03=-10.4;seed04=-9.1;seed05=-14.9;seed06=-9.8;seed07=-20.4;seed08=-9.2;seed09=-9.4;seed10=-9.4
C,ta,2d,async,e2e_warm_us,10,-30.91,-30.82,-32.27,-29.4,-34.54,-25.41,10/10,robust,seed01=-33.2;seed02=-32.4;seed03=-31.0;seed04=-30.3;seed05=-31.4;seed06=-25.4;seed07=-34.5;seed08=-30.6;seed09=-30.0;seed10=-30.3
C,ta,2d,async,first_query_us,10,-44.23,-44.44,-45.48,-42.71,-47.41,-38.56,10/10,robust,seed01=-46.2;seed02=-43.9;seed03=-45.3;seed04=-44.4;seed05=-42.8;seed06=-38.6;seed07=-47.4;seed08=-44.8;seed09=-44.4;seed10=-44.4
C,ta,2d,pread,e2e_us,10,63.43,64.15,57.38,69.32,47.51,75.53,10/10,robust,seed01=59.5;seed02=50.6;seed03=70.2;seed04=68.5;seed05=47.5;seed06=59.9;seed07=54.6;seed08=74.1;seed09=74.1;seed10=75.5
C,ta,2d,pread,e2e_warm_us,10,45.3,45.73,40.65,49.65,31.02,54.44,10/10,robust,seed01=43.2;seed02=36.4;seed03=49.2;seed04=47.2;seed05=31.0;seed06=44.3;seed07=40.8;seed08=53.0;seed09=53.5;seed10=54.4
C,ta,2d,pread,first_query_us,10,-47.32,-47.97,-48.65,-45.68,-50.51,-41.23,10/10,robust,seed01=-49.1;seed02=-46.6;seed03=-48.5;seed04=-47.9;seed05=-45.2;seed06=-41.2;seed07=-50.5;seed08=-48.1;seed09=-48.3;seed10=-47.9
C,ta,2e_K10,async,e2e_us,10,-46.94,-46.08,-50.21,-43.67,-54.65,-41.03,10/10,robust,seed01=-49.9;seed02=-54.6;seed03=-42.3;seed04=-41.5;seed05=-53.4;seed06=-50.5;seed07=-52.3;seed08=-41.6;seed09=-42.2;seed10=-41.0
C,ta,2e_K10,async,e2e_warm_us,10,-65.07,-64.18,-66.74,-63.53,-70.03,-62.41,10/10,robust,seed01=-65.4;seed02=-69.0;seed03=-62.7;seed04=-62.8;seed05=-70.0;seed06=-66.2;seed07=-66.4;seed08=-62.9;seed09=-62.9;seed10=-62.4
C,ta,2e_K10,async,first_query_us,10,-79.78,-79.24,-80.75,-78.88,-82.64,-78.14,10/10,robust,seed01=-79.9;seed02=-81.9;seed03=-78.3;seed04=-78.6;seed05=-82.6;seed06=-80.6;seed07=-80.7;seed08=-78.5;seed09=-78.5;seed10=-78.1
C,ta,2e_K10,pread,e2e_us,10,146.47,145.11,133.25,159.56,111.87,170.72,10/10,robust,seed01=134.7;seed02=118.7;seed03=167.3;seed04=170.2;seed05=111.9;seed06=133.7;seed07=131.4;seed08=170.6;seed09=155.6;seed10=170.7
C,ta,2e_K10,pread,e2e_warm_us,10,128.5,126.47,116.42,140.54,95.2,154.74,10/10,robust,seed01=115.1;seed02=104.6;seed03=146.5;seed04=149.1;seed05=95.2;seed06=118.0;seed07=117.5;seed08=149.2;seed09=134.9;seed10=154.7
C,ta,2e_K10,pread,first_query_us,10,-79.81,-79.26,-80.78,-78.9,-82.66,-78.04,10/10,robust,seed01=-79.9;seed02=-82.1;seed03=-78.6;seed04=-78.5;seed05=-82.7;seed06=-80.6;seed07=-80.6;seed08=-78.5;seed09=-78.5;seed10=-78.0
C,ta,leaf_freq_K10,async,e2e_us,10,-5.88,-4.5,-11.03,-0.81,-18.88,3.04,5/10,robust,seed01=-9.5;seed02=-18.9;seed03=1.7;seed04=2.8;seed05=-17.5;seed06=-10.9;seed07=-12.5;seed08=3.0;seed09=2.4;seed10=0.5
C,ta,leaf_freq_K10,async,e2e_warm_us,10,-23.76,-22.11,-27.56,-20.24,-34.24,-18.22,10/10,robust,seed01=-25.4;seed02=-33.1;seed03=-18.9;seed04=-18.5;seed05=-34.2;seed06=-26.5;seed07=-26.4;seed08=-18.2;seed09=-18.3;seed10=-18.2
C,ta,leaf_freq_K10,async,first_query_us,10,-32.27,-30.87,-35.63,-29.15,-41.47,-27.32,10/10,robust,seed01=-33.8;seed02=-40.6;seed03=-27.9;seed04=-27.6;seed05=-41.5;seed06=-34.7;seed07=-34.6;seed08=-27.3;seed09=-27.4;seed10=-27.3
C,ta,leaf_freq_K10,pread,e2e_us,10,88.61,88.18,78.23,99.12,61.81,115.16,10/10,robust,seed01=78.6;seed02=61.8;seed03=104.8;seed04=103.6;seed05=64.0;seed06=80.3;seed07=79.4;seed08=115.2;seed09=96.1;seed10=102.4
C,ta,leaf_freq_K10,pread,e2e_warm_us,10,70.25,70.18,61.21,79.2,47.37,93.75,10/10,robust,seed01=60.6;seed02=47.4;seed03=84.0;seed04=82.6;seed05=47.5;seed06=64.7;seed07=65.3;seed08=93.7;seed09=75.1;seed10=81.7
C,ta,leaf_freq_K10,pread,first_query_us,10,-32.18,-30.78,-35.43,-29.17,-41.61,-26.75,10/10,robust,seed01=-33.4;seed02=-39.7;seed03=-28.2;seed04=-27.7;seed05=-41.6;seed06=-34.4;seed07=-34.7;seed08=-27.6;seed09=-27.8;seed10=-26.8
C,ta,leaf_rand_K10,async,e2e_us,10,24.67,25.79,22.48,26.72,18.99,28.87,10/10,robust,seed01=20.8;seed02=19.0;seed03=26.8;seed04=28.9;seed05=22.9;seed06=24.8;seed07=20.4;seed08=28.7;seed09=27.4;seed10=27.1
C,ta,leaf_rand_K10,async,e2e_warm_us,10,6.61,6.87,5.46,7.62,2.59,9.36,10/10,robust,seed01=2.6;seed02=4.8;seed03=7.0;seed04=7.4;seed05=6.2;seed06=9.4;seed07=6.5;seed08=7.3;seed09=6.8;seed10=8.2
C,ta,leaf_rand_K10,async,first_query_us,10,-2.05,-1.99,-3.12,-1.07,-5.91,1.07,9/10,robust,seed01=-5.9;seed02=-2.9;seed03=-2.2;seed04=-1.9;seed05=-1.2;seed06=1.1;seed07=-1.8;seed08=-2.1;seed09=-2.4;seed10=-1.2
C,ta,leaf_rand_K10,pread,e2e_us,10,117.74,114.43,111.5,124.22,103.59,133.68,10/10,robust,seed01=110.5;seed02=103.6;seed03=127.3;seed04=124.8;seed05=103.9;seed06=113.0;seed07=113.5;seed08=131.9;seed09=133.7;seed10=115.4
C,ta,leaf_rand_K10,pread,e2e_warm_us,10,99.87,98.87,94.94,104.92,87.45,113.09,10/10,robust,seed01=92.9;seed02=89.3;seed03=106.7;seed04=103.7;seed05=87.4;seed06=97.6;seed07=99.4;seed08=110.2;seed09=113.1;seed10=98.3
C,ta,leaf_rand_K10,pread,first_query_us,10,-2.09,-1.65,-3.28,-1.1,-6.57,0.82,9/10,robust,seed01=-6.6;seed02=-1.7;seed03=-2.7;seed04=-2.9;seed05=-1.5;seed06=0.8;seed07=-1.3;seed08=-1.9;seed09=-1.6;seed10=-1.6
