workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,lp_sorted,pread,128,1,1,0.00,100.00,95.43,18661.40,148.03,18513.37,,,18756.83,18608.80,1.56,0.00,278.00,1.17,42928852,2026-09-23T04:03:34Z
A,orig,lp_sorted,async,128,1,1,0.00,100.00,100.49,7319.17,135.90,7183.27,,,7419.66,7283.76,1.56,0.00,278.00,1.17,42928104,2026-09-23T04:03:34Z
A,orig,lp_shuf,pread,128,1,1,0.00,100.00,101.88,257796.51,184.03,257612.48,,,257898.39,257714.36,1.54,0.00,278.00,1.17,42931340,2026-09-23T04:03:35Z
A,orig,lp_shuf,async,128,1,1,0.00,100.00,100.25,7286.17,181.24,7104.93,,,7386.42,7205.18,1.56,0.00,278.00,1.17,42951888,2026-09-23T04:03:35Z
B,orig,lp_sorted,pread,128,1,1,0.00,100.00,98.48,18299.71,177.90,18121.82,,,18398.19,18220.30,1.60,0.00,278.00,1.17,42953464,2026-09-23T04:03:35Z
B,orig,lp_sorted,async,128,1,1,0.00,100.00,96.14,7268.23,181.30,7086.93,,,7364.37,7183.07,1.61,0.00,278.00,1.17,42950740,2026-09-23T04:03:36Z
B,orig,lp_shuf,pread,128,1,1,0.00,100.00,100.76,271219.63,182.39,271037.24,,,271320.39,271138.00,1.61,0.00,278.00,1.17,42954816,2026-09-23T04:03:36Z
B,orig,lp_shuf,async,128,1,1,0.00,100.00,97.20,7121.22,181.35,6939.87,,,7218.42,7037.07,1.62,0.00,278.00,1.17,42953864,2026-09-23T04:03:36Z
C,orig,lp_sorted,pread,128,1,1,0.00,100.00,93.54,2822.55,184.88,2637.67,,,2916.09,2731.21,1.51,0.00,37.00,1.17,42957308,2026-09-23T04:03:37Z
C,orig,lp_sorted,async,128,1,1,0.00,100.00,95.56,949.29,183.72,765.57,,,1044.85,861.13,1.54,0.00,37.00,1.17,42958264,2026-09-23T04:03:37Z
C,orig,lp_shuf,pread,128,1,1,0.00,100.00,94.93,27781.92,139.21,27642.71,,,27876.85,27737.64,1.51,0.00,37.00,1.17,42957056,2026-09-23T04:03:37Z
C,orig,lp_shuf,async,128,1,1,0.00,99.40,96.60,789.14,130.34,658.81,,,885.74,755.41,1.53,0.00,37.00,1.17,42959244,2026-09-23T04:03:37Z
C_hit,orig,lp_sorted,pread,128,1,1,0.00,100.00,92.25,4416.89,181.48,4235.41,,,4509.14,4327.66,1.53,0.00,62.00,1.17,42959992,2026-09-23T04:03:38Z
C_hit,orig,lp_sorted,async,128,1,1,0.00,100.00,94.09,1553.18,180.28,1372.90,,,1647.27,1466.99,1.55,0.00,62.00,1.17,42959368,2026-09-23T04:03:38Z
C_hit,orig,lp_shuf,pread,128,1,1,0.00,100.00,88.91,53150.21,175.63,52974.58,,,53239.12,53063.49,1.53,0.00,62.00,1.17,42960040,2026-09-23T04:03:38Z
C_hit,orig,lp_shuf,async,128,1,1,0.00,99.80,90.61,1598.68,172.61,1426.07,,,1689.29,1516.68,1.55,0.00,62.00,1.17,42962872,2026-09-23T04:03:39Z
A,orig,lp_sorted,pread,128,2,0,0.00,100.00,92.81,18309.76,172.78,18136.98,,,18402.57,18229.79,1.55,0.00,278.00,1.17,42963292,2026-09-23T04:03:39Z
A,orig,lp_shuf,pread,128,2,0,0.00,100.00,95.26,259124.96,173.69,258951.28,,,259220.22,259046.54,1.56,0.00,278.00,1.16,42956860,2026-09-23T04:03:39Z
