workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,523.04
YD,orig,0,2e_K10_static,97.95
YD,orig,0,layers_92_static,245.33
YD,orig,1,baseline,501.46
YD,orig,1,2e_K10_static,387.65
YD,orig,1,layers_92_static,227.05
YD,orig,2,baseline,474.88
YD,orig,2,2e_K10_static,128.72
YD,orig,2,layers_92_static,215.97
YD,orig,3,baseline,524.85
YD,orig,3,2e_K10_static,440.26
YD,orig,3,layers_92_static,261.72
YD,orig,4,baseline,533.76
YD,orig,4,2e_K10_static,134.67
YD,orig,4,layers_92_static,262.74
YD,orig,5,baseline,636.77
YD,orig,5,2e_K10_static,424.51
YD,orig,5,layers_92_static,307.56
YD,orig,6,baseline,534.81
YD,orig,6,2e_K10_static,442.65
YD,orig,6,layers_92_static,268.81
YD,orig,7,baseline,506.30
YD,orig,7,2e_K10_static,129.70
YD,orig,7,layers_92_static,225.66
YD,orig,8,baseline,560.12
YD,orig,8,2e_K10_static,415.05
YD,orig,8,layers_92_static,262.11
YD,orig,9,baseline,592.10
YD,orig,9,2e_K10_static,439.70
YD,orig,9,layers_92_static,257.83
YD,orig,10,baseline,620.86
YD,orig,10,2e_K10_static,437.89
YD,orig,10,layers_92_static,258.28
YE,orig,0,baseline,549.43
YE,orig,0,2e_K10_static,258.26
YE,orig,0,layers_92_static,260.57
YE,orig,1,baseline,537.87
YE,orig,1,2e_K10_static,100.33
YE,orig,1,layers_92_static,260.67
YE,orig,2,baseline,528.40
YE,orig,2,2e_K10_static,98.18
YE,orig,2,layers_92_static,266.20
YE,orig,3,baseline,561.55
YE,orig,3,2e_K10_static,266.55
YE,orig,3,layers_92_static,270.00
YE,orig,4,baseline,539.95
YE,orig,4,2e_K10_static,102.21
YE,orig,4,layers_92_static,260.47
YE,orig,5,baseline,623.81
YE,orig,5,2e_K10_static,281.81
YE,orig,5,layers_92_static,282.04
YE,orig,6,baseline,651.84
YE,orig,6,2e_K10_static,296.71
YE,orig,6,layers_92_static,294.98
YE,orig,7,baseline,569.45
YE,orig,7,2e_K10_static,99.41
YE,orig,7,layers_92_static,267.01
YE,orig,8,baseline,613.88
YE,orig,8,2e_K10_static,355.57
YE,orig,8,layers_92_static,358.26
YE,orig,9,baseline,559.73
YE,orig,9,2e_K10_static,99.31
YE,orig,9,layers_92_static,260.45
YE,orig,10,baseline,518.22
YE,orig,10,2e_K10_static,100.45
YE,orig,10,layers_92_static,266.71
