workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,572.37
YD,orig,0,2e_K10_static,100.97
YD,orig,0,layers_92_static,249.33
YD,orig,1,baseline,639.18
YD,orig,1,2e_K10_static,456.95
YD,orig,1,layers_92_static,270.72
YD,orig,2,baseline,613.42
YD,orig,2,2e_K10_static,470.46
YD,orig,2,layers_92_static,311.34
YD,orig,3,baseline,658.93
YD,orig,3,2e_K10_static,153.39
YD,orig,3,layers_92_static,312.53
YD,orig,4,baseline,484.25
YD,orig,4,2e_K10_static,427.55
YD,orig,4,layers_92_static,279.72
YD,orig,5,baseline,567.86
YD,orig,5,2e_K10_static,461.38
YD,orig,5,layers_92_static,273.16
YD,orig,6,baseline,584.96
YD,orig,6,2e_K10_static,127.33
YD,orig,6,layers_92_static,222.36
YD,orig,7,baseline,656.56
YD,orig,7,2e_K10_static,442.69
YD,orig,7,layers_92_static,318.10
YD,orig,8,baseline,608.11
YD,orig,8,2e_K10_static,140.47
YD,orig,8,layers_92_static,296.36
YD,orig,9,baseline,546.34
YD,orig,9,2e_K10_static,448.43
YD,orig,9,layers_92_static,287.09
YD,orig,10,baseline,543.34
YD,orig,10,2e_K10_static,451.62
YD,orig,10,layers_92_static,287.44
YE,orig,0,baseline,570.30
YE,orig,0,2e_K10_static,261.00
YE,orig,0,layers_92_static,257.99
YE,orig,1,baseline,623.04
YE,orig,1,2e_K10_static,266.10
YE,orig,1,layers_92_static,261.36
YE,orig,2,baseline,647.49
YE,orig,2,2e_K10_static,324.94
YE,orig,2,layers_92_static,326.10
YE,orig,3,baseline,562.45
YE,orig,3,2e_K10_static,270.19
YE,orig,3,layers_92_static,259.01
YE,orig,4,baseline,590.56
YE,orig,4,2e_K10_static,313.43
YE,orig,4,layers_92_static,287.99
YE,orig,5,baseline,651.04
YE,orig,5,2e_K10_static,290.42
YE,orig,5,layers_92_static,265.75
YE,orig,6,baseline,593.46
YE,orig,6,2e_K10_static,299.19
YE,orig,6,layers_92_static,299.45
YE,orig,7,baseline,415.72
YE,orig,7,2e_K10_static,276.53
YE,orig,7,layers_92_static,282.30
YE,orig,8,baseline,597.52
YE,orig,8,2e_K10_static,311.25
YE,orig,8,layers_92_static,304.85
YE,orig,9,baseline,611.68
YE,orig,9,2e_K10_static,322.98
YE,orig,9,layers_92_static,321.88
YE,orig,10,baseline,673.88
YE,orig,10,2e_K10_static,326.66
YE,orig,10,layers_92_static,327.25
