seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
1,A,orig,2d,async,10,128,360.05,406.85,353.55,22.75,100.0,282.24,194.12,87.00,,,645.93,450.42,0.0
1,A,orig,2d,async_bulk,5,128,361.84,403.04,351.81,21.26,100.0,277.42,193.98,22.05,62.50,13.00,644.04,384.23,0.0
1,A,orig,2d,async_win,10,128,360.00,423.26,324.71,32.10,100.0,278.84,194.49,22.16,62.71,13.00,638.90,382.47,0.0
1,A,orig,2d,pread,5,128,181.09,181.95,179.06,1.08,100.0,1916.60,194.22,1718.58,,,2095.66,1897.64,0.0
1,A,orig,2e_K10,async,10,128,344.50,392.46,324.99,25.20,100.0,291.59,194.22,98.09,,,635.14,442.26,0.0
1,A,orig,2e_K10,async_bulk,5,128,358.40,391.46,333.14,23.37,100.0,288.87,194.49,32.80,62.71,22.00,642.22,390.88,0.0
1,A,orig,2e_K10,async_win,10,128,352.07,406.87,326.32,27.97,100.0,287.69,192.87,32.50,62.52,22.00,638.23,385.27,0.0
1,A,orig,2e_K10,pread,5,128,178.99,180.73,178.25,0.95,100.0,2652.78,194.06,2458.71,,,2832.08,2638.01,0.0
1,A,orig,2e_K500,async,10,128,181.27,184.42,171.45,3.56,100.0,1033.09,195.03,836.52,,,1213.26,1016.33,0.0
1,A,orig,2e_K500,async_bulk,5,128,183.21,185.48,177.53,2.79,100.0,1008.54,193.90,715.10,92.02,492.00,1191.75,901.10,0.0
1,A,orig,2e_K500,async_win,10,128,182.37,187.73,180.48,2.99,100.0,1010.31,194.43,724.87,91.85,492.00,1192.44,906.50,0.0
1,A,orig,2e_K500,pread,5,128,183.10,184.12,182.26,0.73,100.0,21756.01,194.93,21561.09,,,21940.35,21745.43,0.0
1,A,orig,2f_slru,async,10,128,97.83,106.10,96.30,4.23,100.0,7276.42,228.84,7047.83,,,7373.86,7145.27,0.0
