workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,531.29
YD,orig,0,2e_K10_static,436.32
YD,orig,0,layers_92_static,260.88
YD,orig,1,baseline,548.45
YD,orig,1,2e_K10_static,440.46
YD,orig,1,layers_92_static,256.11
YD,orig,2,baseline,557.52
YD,orig,2,2e_K10_static,364.73
YD,orig,2,layers_92_static,263.97
YD,orig,3,baseline,536.62
YD,orig,3,2e_K10_static,424.56
YD,orig,3,layers_92_static,253.42
YD,orig,4,baseline,620.96
YD,orig,4,2e_K10_static,490.12
YD,orig,4,layers_92_static,295.67
YD,orig,5,baseline,536.97
YD,orig,5,2e_K10_static,433.22
YD,orig,5,layers_92_static,262.65
YD,orig,6,baseline,483.85
YD,orig,6,2e_K10_static,399.81
YD,orig,6,layers_92_static,223.37
YD,orig,7,baseline,635.08
YD,orig,7,2e_K10_static,440.94
YD,orig,7,layers_92_static,277.12
YD,orig,8,baseline,496.78
YD,orig,8,2e_K10_static,417.12
YD,orig,8,layers_92_static,233.56
YD,orig,9,baseline,506.05
YD,orig,9,2e_K10_static,393.37
YD,orig,9,layers_92_static,217.31
YD,orig,10,baseline,532.74
YD,orig,10,2e_K10_static,443.47
YD,orig,10,layers_92_static,266.48
YE,orig,0,baseline,533.16
YE,orig,0,2e_K10_static,264.58
YE,orig,0,layers_92_static,264.55
YE,orig,1,baseline,526.24
YE,orig,1,2e_K10_static,250.93
YE,orig,1,layers_92_static,255.22
YE,orig,2,baseline,523.88
YE,orig,2,2e_K10_static,93.54
YE,orig,2,layers_92_static,259.35
YE,orig,3,baseline,527.12
YE,orig,3,2e_K10_static,97.35
YE,orig,3,layers_92_static,258.69
YE,orig,4,baseline,560.77
YE,orig,4,2e_K10_static,289.55
YE,orig,4,layers_92_static,285.60
YE,orig,5,baseline,519.12
YE,orig,5,2e_K10_static,260.23
YE,orig,5,layers_92_static,258.81
YE,orig,6,baseline,590.51
YE,orig,6,2e_K10_static,259.69
YE,orig,6,layers_92_static,281.38
YE,orig,7,baseline,597.61
YE,orig,7,2e_K10_static,94.73
YE,orig,7,layers_92_static,354.47
YE,orig,8,baseline,574.33
YE,orig,8,2e_K10_static,320.55
YE,orig,8,layers_92_static,318.19
YE,orig,9,baseline,677.99
YE,orig,9,2e_K10_static,295.85
YE,orig,9,layers_92_static,299.64
YE,orig,10,baseline,634.37
YE,orig,10,2e_K10_static,301.38
YE,orig,10,layers_92_static,299.52
