workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2f_slru,async,3,128,103.87,,99.07,3.22,100.0,6847.68,9.00,6838.66,,,6946.75,6937.73,0.0
A,orig,2f_slru,async_win,3,128,100.57,,98.47,1.76,82.6,2246.21,9.40,2004.53,231.29,138.00,2348.98,2107.30,0.0
B,orig,2f_slru,async,3,128,103.24,,101.96,1.48,100.0,6777.38,9.07,6768.12,,,6880.62,6871.36,0.0
B,orig,2f_slru,async_win,3,128,100.55,,99.44,2.43,68.1,2170.46,8.83,1933.58,228.57,139.00,2271.01,2034.13,0.0
