workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,2f_slru,pread,128,1,1,0.00,100.00,105.70,20573.68,10.99,20562.69,,,20679.38,20668.39,1.59,0.00,278.00,0.21,19668332,2026-09-18T04:23:58Z
A,orig,2f_slru,async,128,1,1,0.00,100.00,101.42,7174.69,8.93,7165.76,,,7276.11,7267.18,1.55,0.00,278.00,0.21,19659948,2026-09-18T04:23:58Z
A,orig,2f_slru,async_win,128,1,1,0.00,82.60,101.22,2221.62,8.66,1982.17,230.79,138.00,2322.84,2083.39,1.56,0.00,278.00,0.21,19660800,2026-09-18T04:23:58Z
B,orig,2f_slru,pread,128,1,1,0.00,100.00,97.23,17805.90,8.90,17797.00,,,17903.13,17894.23,1.57,0.00,278.00,0.21,19657812,2026-09-18T04:23:58Z
B,orig,2f_slru,async,128,1,1,0.00,100.00,102.91,7203.97,8.98,7195.00,,,7306.88,7297.91,1.59,0.00,278.00,0.21,19649972,2026-09-18T04:23:59Z
B,orig,2f_slru,async_win,128,1,1,0.00,71.80,98.62,2165.58,9.17,1909.81,246.60,139.00,2264.20,2008.43,1.64,0.00,278.00,0.21,19649060,2026-09-18T04:23:59Z
A,orig,2f_slru,async,128,2,0,0.00,100.00,99.07,6847.68,9.02,6838.66,,,6946.75,6937.73,1.55,0.00,278.00,0.21,19646048,2026-09-18T04:23:59Z
A,orig,2f_slru,async_win,128,2,0,0.00,92.00,98.47,2291.09,9.97,2049.82,231.29,138.00,2389.56,2148.29,1.56,0.00,278.00,0.21,19643220,2026-09-18T04:24:00Z
B,orig,2f_slru,async,128,2,0,0.00,100.00,105.54,6764.83,9.07,6755.76,,,6870.37,6861.30,1.60,0.00,278.00,0.21,19641272,2026-09-18T04:24:00Z
B,orig,2f_slru,async_win,128,2,0,0.00,68.10,105.06,2147.31,9.45,1909.48,228.38,139.00,2252.37,2014.54,1.60,0.00,278.00,0.21,19639192,2026-09-18T04:24:00Z
A,orig,2f_slru,async,128,3,0,0.00,100.00,103.87,6790.99,8.27,6782.72,,,6894.86,6886.59,1.55,0.00,278.00,0.21,19636928,2026-09-18T04:24:00Z
A,orig,2f_slru,async_win,128,3,0,0.00,82.60,102.77,2246.21,9.17,2004.53,232.52,138.00,2348.98,2107.30,1.54,0.00,278.00,0.21,19632124,2026-09-18T04:24:01Z
B,orig,2f_slru,async,128,3,0,0.00,100.00,103.24,6777.38,9.26,6768.12,,,6880.62,6871.36,1.60,0.00,278.00,0.21,19630604,2026-09-18T04:24:01Z
B,orig,2f_slru,async_win,128,3,0,0.00,68.10,100.55,2170.46,8.31,1933.58,228.57,139.00,2271.01,2034.13,1.62,0.00,278.00,0.21,19627096,2026-09-18T04:24:01Z
A,orig,2f_slru,async,128,4,0,0.00,100.00,106.89,6870.53,9.00,6861.53,,,6977.42,6968.42,1.54,0.00,278.00,0.21,19623872,2026-09-18T04:24:01Z
A,orig,2f_slru,async_win,128,4,0,0.00,78.30,100.57,2237.98,9.40,1998.94,229.64,138.00,2338.55,2099.51,1.55,0.00,278.00,0.27,19621252,2026-09-18T04:24:02Z
B,orig,2f_slru,async,128,4,0,0.00,100.00,101.96,6917.45,8.74,6908.71,,,7019.41,7010.67,1.61,0.00,278.00,0.27,19617188,2026-09-18T04:24:02Z
B,orig,2f_slru,async_win,128,4,0,0.00,83.30,99.44,2228.75,8.83,1983.16,236.76,139.00,2328.19,2082.60,1.65,0.00,278.00,0.27,19598416,2026-09-18T04:24:02Z
