seed,workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
3,C_hit,orig,2e_K10,pread,10,128,454.82,471.90,452.40,8.91,100.0,1172.07,171.32,1001.80,1625.66,1454.42,0.0
3,C_hit,orig,2e_K500,async,10,128,515.51,532.32,484.71,15.83,44.4,844.66,170.19,672.34,1352.14,1183.28,0.0
3,C_hit,orig,2e_K500,pread,10,128,531.89,563.36,513.70,16.45,100.0,3347.80,171.56,3176.70,3887.12,3714.90,0.0
3,C_hit,orig,2f_slru,async,10,128,83.84,85.77,82.04,1.12,100.0,1533.24,170.89,1362.38,1616.53,1445.67,0.0
3,C_hit,orig,2f_slru,pread,10,128,83.15,84.27,76.89,2.12,100.0,4731.68,170.79,4560.21,4814.98,4643.51,0.0
3,C_hit,orig,2f_top14,async,10,128,495.77,543.95,458.25,27.52,100.0,249.41,171.11,78.75,746.96,575.03,0.0
3,C_hit,orig,2f_top14,pread,10,128,493.26,520.83,458.09,24.72,100.0,1050.04,170.76,879.72,1536.20,1366.06,0.0
3,C_hit,orig,2f_top28,async,10,128,450.56,523.94,446.64,33.37,100.0,266.55,170.71,95.77,717.57,546.47,0.0
3,C_hit,orig,2f_top28,pread,10,128,462.35,485.51,459.07,11.26,100.0,1064.24,170.66,893.78,1537.37,1364.29,0.0
3,C_hit,orig,baseline,baseline,10,128,915.88,927.93,877.56,18.68,0.0,0.00,0.00,0.00,915.88,915.88,0.0
3,C_hit,orig,layers_92,async,10,128,545.90,607.91,543.16,30.99,100.0,375.88,170.96,204.49,921.36,750.86,0.0
3,C_hit,orig,layers_92,pread,10,128,545.76,554.35,473.57,29.92,100.0,7901.32,171.30,7729.37,8436.29,8266.18,0.0
3,C_hit,orig,lp_shuf,pread,10,128,87.08,91.64,84.07,2.46,100.0,52973.75,82.71,52892.72,53061.29,52980.26,0.0
3,C_hit,orig,lp_sorted,pread,10,128,85.75,90.58,81.65,2.83,100.0,4640.41,82.08,4557.95,4725.48,4643.02,0.0
3,C_hit,orig,learned_markov_14,async,10,128,461.88,500.08,457.84,17.52,100.0,161.16,82.21,79.49,624.83,541.18,0.0
3,C_hit,orig,learned_markov_14,pread,10,128,494.03,498.65,457.78,18.18,100.0,969.28,82.54,884.27,1446.54,1364.87,0.0
3,C_hit,orig,learned_markov_28,async,10,128,492.76,542.56,454.57,26.55,100.0,177.89,82.16,95.77,673.68,589.42,0.0
3,C_hit,orig,learned_markov_28,pread,10,128,462.06,508.52,459.16,18.98,100.0,965.15,81.98,882.91,1428.01,1346.32,0.0
4,C_hit,orig,2d,async,10,128,548.12,552.21,486.06,18.95,100.0,205.55,137.50,68.02,754.48,615.73,0.0
4,C_hit,orig,2d,pread,10,128,548.06,550.95,541.87,2.73,100.0,565.90,137.58,428.80,1113.28,975.91,0.0
4,C_hit,orig,2e_K10,async,10,128,495.59,557.27,491.08,29.71,100.0,208.19,128.09,80.11,704.95,576.07,0.0
4,C_hit,orig,2e_K10,pread,10,128,492.38,527.37,484.88,18.66,100.0,1101.63,127.91,973.89,1602.50,1475.04,0.0
4,C_hit,orig,2e_K500,async,10,128,170.65,172.29,167.87,1.31,45.7,837.62,127.22,710.25,1008.39,881.02,0.0
4,C_hit,orig,2e_K500,pread,10,128,169.64,172.40,168.51,1.49,100.0,3270.68,128.58,3141.09,3441.10,3311.50,0.0
4,C_hit,orig,2f_slru,async,10,128,85.76,89.21,81.01,2.61,100.0,1472.96,127.62,1345.39,1558.04,1430.47,0.0
4,C_hit,orig,2f_slru,pread,10,128,83.02,84.61,81.13,1.21,100.0,4656.59,126.59,4529.51,4738.82,4611.75,0.0
4,C_hit,orig,2f_top14,async,10,128,496.86,527.50,493.72,16.11,100.0,247.91,168.66,78.82,745.23,574.94,0.0
4,C_hit,orig,2f_top14,pread,10,128,494.99,557.74,492.13,25.40,100.0,1048.99,167.94,880.91,1542.77,1374.69,0.0
4,C_hit,orig,2f_top28,async,10,128,550.26,557.82,485.36,30.64,100.0,265.85,169.16,96.31,817.62,647.24,0.0
4,C_hit,orig,2f_top28,pread,10,128,496.35,559.03,495.10,25.12,100.0,1056.47,168.47,886.30,1556.61,1387.54,0.0
4,C_hit,orig,baseline,baseline,10,128,565.18,569.77,499.17,20.10,0.0,0.00,0.00,0.00,565.18,565.18,0.0
4,C_hit,orig,layers_92,async,10,128,548.57,550.79,545.84,1.48,100.0,330.06,127.25,202.19,880.44,750.90,0.0
4,C_hit,orig,layers_92,pread,10,128,547.49,552.20,545.09,2.28,100.0,8037.80,126.72,7911.77,8585.10,8459.08,0.0
4,C_hit,orig,lp_shuf,pread,10,128,85.96,91.04,82.73,2.74,100.0,52807.10,83.00,52724.67,52893.28,52810.85,0.0
4,C_hit,orig,lp_sorted,pread,10,128,85.56,90.52,82.42,2.82,100.0,4551.32,81.50,4470.31,4635.55,4554.54,0.0
4,C_hit,orig,learned_markov_14,async,10,128,497.71,558.87,492.20,28.38,100.0,160.57,82.50,78.05,657.51,575.67,0.0
4,C_hit,orig,learned_markov_14,pread,10,128,497.54,559.54,492.80,30.45,100.0,974.06,82.25,882.57,1477.28,1387.51,0.0
4,C_hit,orig,learned_markov_28,async,10,128,552.00,555.91,485.44,20.23,100.0,177.03,82.47,95.05,730.00,648.02,0.0
4,C_hit,orig,learned_markov_28,pread,10,128,497.60,531.29,495.91,17.06,100.0,969.22,82.23,886.41,1469.74,1387.70,0.0
5,C_hit,orig,2d,async,10,128,394.99,456.52,384.50,29.53,100.0,206.44,138.72,68.47,601.03,462.84,0.0
5,C_hit,orig,2d,pread,10,128,448.93,454.78,384.40,30.97,100.0,569.98,138.57,431.40,1015.95,878.51,0.0
5,C_hit,orig,2e_K10,async,10,128,436.92,443.28,433.76,3.30,100.0,219.95,138.27,81.37,656.62,518.64,0.0
5,C_hit,orig,2e_K10,pread,10,128,170.53,172.83,167.19,1.93,100.0,1114.68,138.63,975.65,1285.69,1147.11,0.0
5,C_hit,orig,2e_K500,async,10,128,171.80,176.03,168.93,2.34,46.1,860.31,137.01,721.78,1031.02,892.50,0.0
5,C_hit,orig,2e_K500,pread,10,128,171.19,174.52,167.99,2.05,100.0,3372.26,138.29,3233.34,3544.38,3405.46,0.0
5,C_hit,orig,2f_slru,async,10,128,84.69,89.19,82.67,2.43,100.0,1490.28,138.98,1350.69,1575.70,1434.85,0.0
5,C_hit,orig,2f_slru,pread,10,128,84.76,88.89,82.87,2.00,100.0,4680.58,138.26,4540.56,4767.26,4627.24,0.0
5,C_hit,orig,2f_top14,async,10,128,404.81,411.63,401.31,3.74,100.0,216.17,138.75,77.42,621.21,482.11,0.0
5,C_hit,orig,2f_top14,pread,10,128,170.20,177.64,167.88,3.46,100.0,1018.97,137.71,879.55,1190.05,1052.16,0.0
5,C_hit,orig,2f_top28,async,10,128,169.50,174.41,167.91,2.28,100.0,234.65,139.11,95.52,404.32,265.52,0.0
5,C_hit,orig,2f_top28,pread,10,128,169.22,174.78,164.08,3.13,100.0,1027.60,138.67,889.38,1196.91,1058.69,0.0
5,C_hit,orig,baseline,baseline,10,128,561.25,569.32,552.87,5.21,0.0,0.00,0.00,0.00,561.25,561.25,0.0
5,C_hit,orig,layers_92,async,10,128,398.26,454.69,387.90,30.29,100.0,341.94,138.59,203.63,742.00,601.90,0.0
5,C_hit,orig,layers_92,pread,10,128,424.26,459.55,382.66,33.37,100.0,7944.72,138.78,7804.32,8346.87,8206.73,0.0
5,C_hit,orig,lp_shuf,pread,10,128,84.62,89.92,79.83,3.04,100.0,52712.72,82.72,52630.47,52798.75,52716.50,0.0
5,C_hit,orig,lp_sorted,pread,10,128,84.30,88.65,83.18,1.90,100.0,4689.18,82.86,4606.02,4773.41,4690.24,0.0
5,C_hit,orig,learned_markov_14,async,10,128,409.65,509.53,399.48,45.95,100.0,141.72,34.83,106.55,562.62,515.89,0.0
5,C_hit,orig,learned_markov_14,pread,10,128,169.09,173.07,158.88,3.78,100.0,978.57,79.01,888.20,1149.48,1058.00,0.0
5,C_hit,orig,learned_markov_28,async,10,128,171.26,175.69,169.64,2.43,100.0,177.38,81.63,98.76,351.37,270.10,0.0
5,C_hit,orig,learned_markov_28,pread,10,128,170.25,174.18,168.37,1.93,100.0,965.08,84.50,886.77,1135.32,1056.36,0.0
6,C_hit,orig,2d,async,10,128,623.11,643.28,591.19,20.04,100.0,235.63,167.85,67.69,857.90,690.70,0.0
6,C_hit,orig,2d,pread,10,128,594.81,627.57,591.51,15.17,100.0,603.62,168.24,434.01,1202.88,1032.05,0.0
6,C_hit,orig,2e_K10,async,10,128,596.01,630.86,524.29,33.78,100.0,247.52,167.63,79.61,844.31,675.88,0.0
6,C_hit,orig,2e_K10,pread,10,128,525.12,629.78,491.66,53.71,100.0,1141.41,166.98,975.19,1673.83,1507.89,0.0
6,C_hit,orig,2e_K500,async,10,128,171.50,173.10,169.40,1.29,46.2,842.36,167.43,675.33,1013.79,847.14,0.0
6,C_hit,orig,2e_K500,pread,10,128,170.50,173.70,168.46,1.76,100.0,3260.38,168.12,3090.19,3430.02,3259.83,0.0
6,C_hit,orig,2f_slru,async,10,128,85.22,89.36,82.83,2.09,100.0,1554.54,168.24,1386.54,1642.10,1474.09,0.0
