seed,workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
1,YC,orig,2e_K500,pread,128,3,0,0.00,100.00,670.15,51849.76,142.20,51707.56,52519.91,52377.71,6.05,1126.00,1693.00,0.35,56953032
1,YC,orig,2e_K500,async,128,3,0,0.00,100.00,633.47,1154.08,142.01,1012.07,1787.55,1645.54,6.17,1131.00,1673.00,0.35,56952000
1,YC,orig,2f_slru,pread,128,3,0,0.00,100.00,115.28,101041.54,139.65,100901.88,101156.82,101017.16,1.75,0.00,1652.00,0.35,56953816
1,YC,orig,2f_slru,async,128,3,0,0.00,100.00,101.31,42092.68,142.77,41949.92,42193.99,42051.23,1.76,0.00,1652.00,0.35,56954640
1,YC,orig,2f_top14,pread,128,3,0,0.00,100.00,660.91,1486.79,142.22,1344.57,2147.70,2005.48,6.25,1121.00,1475.00,0.35,56936216
1,YC,orig,2f_top14,async,128,3,0,0.00,100.00,633.78,234.99,148.71,86.28,868.77,720.06,6.22,1121.00,1475.00,0.35,56956872
1,YC,orig,2f_top28,pread,128,3,0,0.00,100.00,605.56,2597.37,143.15,2454.22,3202.93,3059.78,5.92,1123.00,1490.00,0.40,56956856
1,YC,orig,2f_top28,async,128,3,0,0.00,100.00,663.79,247.13,142.29,104.85,910.92,768.64,6.21,1123.00,1489.00,0.40,56956444
1,YC,orig,layers_5,pread,128,3,0,0.00,100.00,1061.24,599.22,150.88,448.33,1660.46,1509.57,6.08,1121.00,1464.00,0.40,56958304
1,YC,orig,layers_5,async,128,3,0,0.00,100.00,1029.81,212.44,142.74,69.70,1242.25,1099.51,6.07,1122.00,1463.00,0.40,56959204
1,YC,orig,layers_92,pread,128,3,0,0.00,100.00,634.88,8177.98,142.67,8035.31,8812.86,8670.19,6.10,1126.00,1514.00,0.40,56960224
1,YC,orig,layers_92,async,128,3,0,0.00,100.00,638.62,345.76,148.88,196.88,984.38,835.50,6.16,1127.00,1512.00,0.40,56961488
1,YC,orig,baseline,baseline,128,4,0,0.00,0.00,1030.47,0.00,0.00,0.00,1030.47,1030.47,6.25,1122.00,1462.00,0.40,56962892
1,YC,orig,2d,pread,128,4,0,0.00,100.00,635.52,8235.66,135.38,8100.28,8871.18,8735.80,6.07,1126.00,1516.00,0.40,56970328
1,YC,orig,2d,async,128,4,0,0.00,100.00,634.46,341.96,140.84,201.13,976.42,835.59,6.01,1127.00,1512.00,0.40,56969648
1,YC,orig,2e_K10,pread,128,4,0,0.00,100.00,632.29,9094.68,141.70,8952.99,9726.97,9585.28,6.20,1125.00,1527.00,0.45,56970800
1,YC,orig,2e_K10,async,128,4,0,0.00,100.00,643.11,396.54,150.82,245.71,1039.65,888.82,6.20,1126.00,1524.00,0.45,56989972
1,YC,orig,2e_K500,pread,128,4,0,0.00,100.00,668.78,51831.87,143.18,51688.69,52500.65,52357.47,6.17,1126.00,1693.00,0.45,56988764
1,YC,orig,2e_K500,async,128,4,0,0.00,100.00,663.86,1142.47,141.31,1001.16,1806.33,1665.02,6.15,1131.00,1676.00,0.45,56989176
1,YC,orig,2f_slru,pread,128,4,0,0.00,100.00,110.34,102422.45,140.59,102281.86,102532.79,102392.20,1.77,0.00,1652.00,0.45,56989408
1,YC,orig,2f_slru,async,128,4,0,0.00,100.00,100.85,42124.25,139.74,41984.51,42225.10,42085.36,1.75,0.00,1652.00,0.45,56985904
1,YC,orig,2f_top14,pread,128,4,0,0.00,100.00,632.63,1411.93,140.08,1271.85,2044.56,1904.48,5.84,1121.00,1476.00,0.45,56989664
1,YC,orig,2f_top14,async,128,4,0,0.00,100.00,638.25,225.33,141.86,83.48,863.58,721.73,6.02,1121.00,1475.00,0.45,56989948
1,YC,orig,2f_top28,pread,128,4,0,0.00,100.00,663.96,2615.78,137.05,2478.73,3279.74,3142.69,5.78,1123.00,1490.00,0.45,56988852
1,YC,orig,2f_top28,async,128,4,0,0.00,100.00,639.26,243.58,139.40,104.18,882.84,743.44,6.00,1123.00,1488.00,0.49,56985924
1,YC,orig,layers_5,pread,128,4,0,0.00,100.00,1021.56,576.08,140.56,435.52,1597.64,1457.08,6.04,1121.00,1464.00,0.49,56987284
1,YC,orig,layers_5,async,128,4,0,0.00,100.00,1050.61,211.22,141.69,69.53,1261.83,1120.14,5.88,1122.00,1463.00,0.49,56971584
1,YC,orig,layers_92,pread,128,4,0,0.00,100.00,635.32,8222.84,144.22,8078.62,8858.16,8713.94,6.18,1126.00,1515.00,0.49,56971992
1,YC,orig,layers_92,async,128,4,0,0.00,100.00,633.93,341.06,142.68,198.38,974.99,832.31,6.17,1127.00,1511.00,0.49,56970152
1,YC,orig,baseline,baseline,128,5,0,0.00,0.00,1004.91,0.00,0.00,0.00,1004.91,1004.91,5.88,1122.00,1462.00,0.49,56971728
1,YC,orig,2d,pread,128,5,0,0.00,100.00,646.75,8021.94,142.88,7879.07,8668.69,8525.82,6.16,1126.00,1514.00,0.49,56971176
1,YC,orig,2d,async,128,5,0,0.00,100.00,636.80,342.67,142.07,200.61,979.47,837.41,6.18,1127.00,1513.00,0.49,56970104
1,YC,orig,2e_K10,pread,128,5,0,0.00,100.00,665.65,8878.06,144.35,8733.70,9543.71,9399.35,6.25,1125.00,1526.00,0.53,56970812
1,YC,orig,2e_K10,async,128,5,0,0.00,100.00,660.86,358.95,138.35,220.60,1019.81,881.46,5.88,1126.00,1526.00,0.53,56968684
