workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,532.31,575.73,507.47,28.87,100.0,316.72,230.44,86.04,,,846.52,616.60,0.0
A,orig,2d,async_bulk,5,128,550.05,577.41,511.43,28.38,100.0,316.44,231.88,21.67,62.20,13.00,869.26,574.43,0.0
A,orig,2d,async_win,10,128,515.60,567.79,478.15,31.29,100.0,315.37,231.28,21.11,62.67,13.00,830.51,536.49,0.0
A,orig,2d,pread,5,128,557.75,576.83,508.43,29.31,100.0,1926.68,230.09,1697.03,,,2469.11,2239.65,0.0
A,orig,2e_K10,async,10,128,552.00,662.18,507.73,61.37,100.0,327.75,230.72,97.53,,,879.75,648.72,0.0
A,orig,2e_K10,async_bulk,5,128,577.83,582.02,475.31,40.56,100.0,328.54,231.61,33.89,63.32,23.00,902.90,609.12,0.0
A,orig,2e_K10,async_win,10,128,577.96,582.40,511.49,26.75,100.0,327.54,232.27,32.30,63.00,23.00,905.68,610.88,0.0
A,orig,2e_K10,pread,5,128,570.06,582.14,516.06,24.28,100.0,2795.57,231.34,2565.51,,,3354.15,3122.19,0.0
A,orig,2e_K500,async,10,128,591.37,707.90,538.90,64.91,100.0,1071.79,232.06,834.86,,,1676.71,1437.13,0.0
A,orig,2e_K500,async_bulk,5,128,610.04,1107.41,604.59,249.26,100.0,995.90,231.28,668.64,91.46,457.00,1609.90,1278.15,0.0
A,orig,2e_K500,async_win,10,128,606.60,609.12,457.74,54.41,100.0,994.37,231.94,670.69,91.72,457.00,1594.34,1275.53,0.0
A,orig,2e_K500,pread,5,128,581.43,618.66,517.48,35.56,100.0,28816.37,232.99,28582.29,,,29397.80,29163.72,0.0
A,orig,2f_slru,async,10,128,98.18,100.53,96.74,1.39,100.0,7199.99,231.56,6967.70,,,7298.07,7065.77,0.0
A,orig,2f_slru,async_bulk,5,128,764.15,791.54,724.40,23.98,1.5,722.00,230.49,79.41,409.42,2.00,1486.15,843.56,0.0
A,orig,2f_slru,async_win,10,128,97.00,308.94,95.89,115.43,84.5,2598.57,230.91,1956.01,408.26,138.00,2712.28,2070.90,0.0
A,orig,2f_slru,pread,5,128,97.53,98.29,93.17,1.91,100.0,18651.44,231.74,18419.71,,,18747.34,18515.61,0.0
A,orig,2f_top100,async,10,128,566.35,589.78,512.61,33.93,100.0,428.83,230.50,196.70,,,986.51,761.14,0.0
A,orig,2f_top100,async_bulk,5,128,553.63,926.92,513.00,189.35,100.0,417.82,231.04,120.50,66.69,97.00,975.64,676.79,0.0
A,orig,2f_top100,async_win,10,128,552.23,573.33,515.42,21.97,100.0,414.78,231.41,116.97,66.59,97.00,964.00,666.30,0.0
A,orig,2f_top100,pread,5,128,516.01,523.85,486.09,16.59,100.0,9039.65,232.01,8810.30,,,9536.81,9304.13,0.0
A,orig,2f_top14,async,10,128,566.82,604.06,509.10,36.64,100.0,310.94,230.90,79.82,,,876.99,646.21,0.0
A,orig,2f_top14,async_bulk,5,128,580.42,583.20,514.99,26.25,100.0,315.44,232.07,19.95,62.61,13.00,893.08,599.12,0.0
A,orig,2f_top14,async_win,10,128,556.28,593.23,507.12,30.26,100.0,312.98,231.54,19.00,62.45,13.00,871.36,574.89,0.0
A,orig,2f_top14,pread,5,128,580.74,584.35,524.94,23.00,100.0,1487.96,232.59,1254.38,,,2068.00,1835.41,0.0
A,orig,2f_top28,async,10,128,560.94,955.53,514.95,214.42,100.0,328.38,231.62,96.84,,,884.57,657.96,0.0
A,orig,2f_top28,async_bulk,5,128,551.26,583.31,512.31,26.00,100.0,330.65,231.19,35.97,63.35,27.00,884.01,587.23,0.0
A,orig,2f_top28,async_win,10,128,515.98,570.80,513.30,23.87,100.0,327.80,229.72,34.73,63.25,27.00,843.92,550.75,0.0
A,orig,2f_top28,pread,5,128,576.94,5802.15,553.90,2615.52,100.0,2668.84,231.44,2437.41,,,3251.93,3020.50,0.0
A,orig,2f_top500,async,10,128,609.16,612.37,508.34,39.53,100.0,1048.23,231.05,818.80,,,1645.28,1414.03,0.0
A,orig,2f_top500,async_bulk,5,128,570.83,599.44,515.30,29.22,100.0,983.67,230.64,662.71,90.42,447.00,1548.39,1227.60,0.0
A,orig,2f_top500,async_win,10,128,606.82,610.27,539.00,23.07,100.0,983.79,230.69,662.47,89.98,447.00,1583.93,1263.20,0.0
A,orig,2f_top500,pread,5,128,518.73,560.77,516.97,20.67,100.0,28592.10,233.58,28362.99,,,29162.54,28933.43,0.0
A,orig,baseline,baseline,10,128,832.77,866.79,760.69,32.56,0.0,0.00,0.00,0.00,,,832.77,832.77,0.0
A,orig,layers_5,async,10,128,549.86,819.94,479.32,147.11,100.0,303.33,232.41,69.92,,,850.34,619.50,0.0
A,orig,layers_5,async_bulk,5,128,1135.88,1527.64,509.03,413.90,100.0,304.85,232.30,7.93,63.85,2.00,1437.69,1143.91,0.0
A,orig,layers_5,async_win,10,128,551.91,585.40,510.07,28.96,100.0,302.10,232.78,7.57,61.67,2.00,854.71,559.23,0.0
A,orig,layers_5,pread,5,128,547.94,551.00,481.86,28.04,100.0,666.53,227.03,439.68,,,1210.33,983.87,0.0
A,orig,layers_92,async,10,128,536.10,1122.64,515.22,317.54,100.0,429.81,231.24,197.67,,,965.50,733.49,0.0
A,orig,layers_92,async_bulk,5,128,516.82,568.92,514.86,24.76,100.0,406.82,230.77,111.63,66.56,87.00,923.64,628.45,0.0
A,orig,layers_92,async_win,10,128,554.40,586.09,511.49,29.03,100.0,411.13,232.69,114.94,66.62,87.00,963.90,665.13,0.0
A,orig,layers_92,pread,5,128,514.16,572.09,512.03,26.16,100.0,8226.67,233.07,7993.60,,,8751.39,8523.85,0.0
A,orig,leaf_freq_K10,async,10,128,875.34,1626.65,818.99,411.50,100.0,307.90,232.22,75.42,,,1183.90,951.03,0.0
A,orig,leaf_freq_K10,async_bulk,5,128,887.19,890.80,856.46,15.41,100.0,310.69,233.40,14.47,61.90,10.00,1197.88,901.66,0.0
A,orig,leaf_freq_K10,async_win,10,128,858.78,891.54,787.52,35.15,100.0,310.02,232.18,14.57,61.31,10.00,1170.33,874.00,0.0
A,orig,leaf_freq_K10,pread,5,128,822.44,889.49,752.17,50.49,100.0,1124.61,231.88,894.04,,,1946.10,1714.23,0.0
A,orig,leaf_rand_K10,async,10,128,873.24,1949.04,752.46,447.39,100.0,307.21,231.94,75.79,,,1181.50,949.22,0.0
A,orig,leaf_rand_K10,async_bulk,5,128,826.26,868.26,755.59,40.05,100.0,307.77,232.63,16.17,61.23,10.00,1138.85,844.51,0.0
A,orig,leaf_rand_K10,async_win,10,128,857.25,891.55,756.00,48.23,100.0,309.02,230.91,16.52,61.17,10.00,1164.79,872.95,0.0
