op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
176,read,82251,1,100,56246,0,0
177,read,7492,1,100,55995,0,0
178,read,99361,1,100,56285,0,0
179,read,67987,1,100,56557,0,0
180,read,50753,1,100,56166,0,0
181,read,70456,1,100,56556,0,0
182,read,40130,1,100,57277,0,0
183,read,19155,1,100,57067,0,0
184,read,85975,1,100,56146,0,0
185,read,38168,1,100,55395,0,0
186,read,51021,1,100,55895,0,0
187,read,48299,1,100,55995,0,0
188,read,16577,1,100,60484,0,0
189,read,70114,1,100,56305,0,0
190,read,44267,1,100,55835,0,0
191,read,67778,1,100,55634,0,0
192,read,15672,1,100,56166,0,0
193,read,82526,1,100,55825,0,0
194,read,21864,1,100,56226,0,0
195,read,77241,1,100,56476,0,0
196,read,50627,1,100,56275,0,0
197,read,56647,1,100,55865,0,0
198,read,8134,1,100,55945,0,0
199,read,97172,1,100,56396,0,0
200,read,17828,1,100,55504,0,0
201,read,59604,1,100,55474,0,0
202,read,87615,1,100,2935,0,0
203,read,2702,1,100,56787,0,0
204,read,45815,1,100,56376,0,0
205,read,58947,1,100,57278,0,0
206,read,96790,1,100,60213,0,0
207,read,97015,1,100,56195,0,0
208,read,94390,1,100,55414,0,0
209,read,93196,1,100,55755,0,0
210,read,87666,1,100,2675,0,0
211,read,59133,1,100,55244,0,0
212,read,39821,1,100,55825,0,0
213,read,56232,1,100,56225,0,0
214,read,3704,1,100,57478,0,0
215,read,20786,1,100,56035,0,0
216,read,68366,1,100,2885,0,0
217,read,42580,1,100,55635,0,0
218,read,67744,1,100,55605,0,0
219,read,67466,1,100,55965,0,0
220,read,72952,1,100,56136,0,0
221,read,18006,1,100,55344,0,0
222,read,45033,1,100,55524,0,0
223,read,65553,1,100,55464,0,0
224,read,13734,1,100,55604,0,0
225,read,71495,1,100,56576,0,0
226,read,95202,1,100,55504,0,0
227,read,48366,1,100,55084,0,0
228,read,29479,1,100,55294,0,0
229,read,74736,1,100,56096,0,0
230,read,44576,1,100,56266,0,0
231,read,12171,1,100,2985,0,0
232,read,35619,1,100,55434,0,0
233,read,66362,1,100,55735,0,0
234,read,31882,1,100,55795,0,0
235,read,26644,1,100,56917,0,0
236,read,42213,1,100,58650,0,0
237,read,34675,1,100,57017,0,0
238,read,52189,1,100,55595,0,0
239,read,5640,1,100,56006,0,0
240,read,65608,1,100,55274,0,0
241,read,10534,1,100,56176,0,0
242,read,25834,1,100,56225,0,0
243,read,66209,1,100,55775,0,0
244,read,26149,1,100,55604,0,0
245,read,99368,1,100,2856,0,0
246,read,2250,1,100,56667,0,0
247,read,25450,1,100,55714,0,0
248,read,35161,1,100,55995,0,0
249,read,74007,1,100,55204,0,0
250,read,30269,1,100,55965,0,0
251,read,11155,1,100,56626,0,0
252,read,78657,1,100,55645,0,0
253,read,41554,1,100,56517,0,0
254,read,10977,1,100,55995,0,0
255,read,44715,1,100,56336,0,0
256,read,72684,1,100,55093,0,0
257,read,70476,1,100,56145,0,0
258,read,17494,1,100,56005,0,0
259,read,70017,1,100,56136,0,0
260,read,17754,1,100,56235,0,0
261,read,63434,1,100,3056,0,0
262,read,64526,1,100,56476,0,0
263,read,95757,1,100,56856,0,0
264,read,52214,1,100,2846,0,0
265,read,3700,1,100,2685,0,0
266,read,33667,1,100,55725,0,0
267,read,93555,1,100,56055,0,0
268,read,75753,1,100,56697,0,0
269,read,63717,1,100,2885,0,0
270,read,44633,1,100,56065,0,0
271,read,51881,1,100,56076,0,0
272,read,29380,1,100,56156,0,0
273,read,65701,1,100,55494,0,0
274,read,16529,1,100,2955,0,0
275,read,79922,1,100,56827,0,0
276,read,83203,1,100,55794,0,0
277,read,782,1,100,56456,0,0
278,read,78801,1,100,56105,0,0
279,read,79844,1,100,56016,0,0
280,read,64812,1,100,56136,0,0
281,read,45010,1,100,2806,0,0
282,read,91198,1,100,55965,0,0
283,read,76628,1,100,55144,0,0
284,read,16033,1,100,56155,0,0
285,read,90607,1,100,56607,0,0
286,read,6873,1,100,2946,0,0
287,read,47271,1,100,59231,0,0
288,read,60393,1,100,55484,0,0
289,read,47428,1,100,57788,0,0
290,read,87681,1,100,55715,0,0
291,read,55151,1,100,55735,0,0
292,read,41355,1,100,3136,0,0
293,read,47012,1,100,55985,0,0
294,read,28390,1,100,55594,0,0
295,read,58858,1,100,55965,0,0
296,read,44963,1,100,55604,0,0
297,read,98791,1,100,56667,0,0
298,read,25228,1,100,56096,0,0
299,read,23682,1,100,56085,0,0
300,read,50119,1,100,56787,0,0
301,read,8185,1,100,2956,0,0
302,read,54360,1,100,56035,0,0
303,read,49196,1,100,55163,0,0
304,read,65599,1,100,55505,0,0
305,read,34797,1,100,56537,0,0
306,read,22922,1,100,51717,0,0
307,read,73274,1,100,56176,0,0
308,read,49337,1,100,56005,0,0
309,read,48303,1,100,2715,0,0
310,read,9065,1,100,55835,0,0
311,read,38785,1,100,56236,0,0
312,read,16034,1,100,2696,0,0
313,read,34789,1,100,2866,0,0
314,read,65907,1,100,55825,0,0
315,read,79358,1,100,55484,0,0
316,read,42236,1,100,55795,0,0
317,read,7198,1,100,56496,0,0
318,read,49885,1,100,55664,0,0
319,read,6764,1,100,56606,0,0
320,read,76805,1,100,55534,0,0
321,read,50911,1,100,55124,0,0
322,read,39127,1,100,56215,0,0
323,read,14086,1,100,56095,0,0
324,read,61021,1,100,55925,0,0
325,read,75174,1,100,104156,0,0
326,read,92582,1,100,56917,0,0
327,read,42559,1,100,56015,0,0
328,read,31808,1,100,56296,0,0
329,read,84783,1,100,56155,0,0
330,read,58383,1,100,55414,0,0
331,read,34854,1,100,55935,0,0
332,read,57570,1,100,56165,0,0
333,read,73763,1,100,55615,0,0
334,read,74911,1,100,56677,0,0
335,read,45096,1,100,55644,0,0
336,read,32561,1,100,56155,0,0
337,read,90502,1,100,55715,0,0
338,read,59702,1,100,55253,0,0
339,read,65667,1,100,2886,0,0
340,read,75361,1,100,55064,0,0
341,read,36048,1,100,57428,0,0
342,read,44195,1,100,2836,0,0
343,read,6393,1,100,56426,0,0
344,read,23883,1,100,55414,0,0
345,read,16167,1,100,56707,0,0
346,read,2610,1,100,58750,0,0
347,read,56115,1,100,56616,0,0
348,read,86535,1,100,55625,0,0
349,read,65072,1,100,59372,0,0
350,read,96176,1,100,55494,0,0
351,read,17288,1,100,56446,0,0
352,read,62564,1,100,55434,0,0
353,read,70138,1,100,56586,0,0
354,read,5605,1,100,56326,0,0
355,read,61645,1,100,56527,0,0
356,read,71030,1,100,55735,0,0
357,read,18554,1,100,56306,0,0
358,read,42709,1,100,55354,0,0
359,read,48468,1,100,55294,0,0
360,read,28949,1,100,56466,0,0
361,read,78341,1,100,2945,0,0
362,read,4215,1,100,56155,0,0
363,read,60740,1,100,55915,0,0
364,read,66076,1,100,52018,0,0
365,read,78826,1,100,2725,0,0
366,read,37842,1,100,55585,0,0
367,read,92504,1,100,56245,0,0
368,read,76036,1,100,56045,0,0
369,read,1827,1,100,55324,0,0
370,read,42025,1,100,55975,0,0
371,read,95663,1,100,56306,0,0
372,read,50660,1,100,56256,0,0
373,read,29829,1,100,56436,0,0
374,read,90177,1,100,55464,0,0
375,read,8210,1,100,2735,0,0
376,read,33209,1,100,57048,0,0
377,read,37368,1,100,55916,0,0
378,read,22023,1,100,55164,0,0
379,read,54534,1,100,55865,0,0
380,read,46875,1,100,55465,0,0
381,read,55703,1,100,55064,0,0
382,read,5690,1,100,56165,0,0
383,read,79569,1,100,56075,0,0
384,read,1701,1,100,3126,0,0
385,read,65118,1,100,55825,0,0
386,read,88313,1,100,55104,0,0
387,read,21597,1,100,55284,0,0
388,read,25984,1,100,56086,0,0
389,read,6111,1,100,55925,0,0
390,read,35318,1,100,56316,0,0
391,read,68783,1,100,56767,0,0
392,read,21749,1,100,56136,0,0
393,read,96551,1,100,56145,0,0
394,read,69630,1,100,55675,0,0
395,read,25436,1,100,2776,0,0
396,read,39683,1,100,55404,0,0
397,read,65515,1,100,55084,0,0
398,read,61262,1,100,55355,0,0
399,read,29379,1,100,2725,0,0
400,read,37021,1,100,55494,0,0
401,read,69182,1,100,56456,0,0
402,read,12080,1,100,56176,0,0
403,read,13531,1,100,55594,0,0
404,read,58028,1,100,57618,0,0
405,read,80329,1,100,60964,0,0
406,read,71430,1,100,55845,0,0
407,read,73060,1,100,56115,0,0
408,read,36609,1,100,56186,0,0
409,read,25599,1,100,56286,0,0
410,read,68251,1,100,55113,0,0
411,read,8884,1,100,55885,0,0
412,read,83295,1,100,53801,0,0
413,read,51431,1,100,58469,0,0
414,read,53270,1,100,56947,0,0
415,read,58794,1,100,57328,0,0
416,read,14543,1,100,55655,0,0
417,read,7885,1,100,55725,0,0
418,read,74713,1,100,56005,0,0
419,read,56710,1,100,55073,0,0
420,read,99838,1,100,56236,0,0
421,read,85733,1,100,56876,0,0
422,read,57149,1,100,56867,0,0
423,read,67803,1,100,64902,0,0
424,read,46723,1,100,55775,0,0
425,read,20166,1,100,3136,0,0
426,read,64648,1,100,55745,0,0
427,read,17638,1,100,55935,0,0
428,read,25489,1,100,55244,0,0
429,read,27739,1,100,56216,0,0
430,read,31630,1,100,56587,0,0
431,read,4923,1,100,55905,0,0
432,read,32045,1,100,55575,0,0
433,read,27286,1,100,56156,0,0
434,read,9626,1,100,3025,0,0
435,read,52908,1,100,56106,0,0
436,read,3390,1,100,55284,0,0
437,read,1437,1,100,55264,0,0
438,read,54031,1,100,55193,0,0
439,read,86012,1,100,56156,0,0
440,read,42195,1,100,57318,0,0
441,read,71687,1,100,54202,0,0
442,read,3926,1,100,56426,0,0
443,read,5485,1,100,56216,0,0
444,read,32314,1,100,55955,0,0
445,read,95784,1,100,55885,0,0
446,read,57104,1,100,56316,0,0
447,read,91597,1,100,56065,0,0
448,read,38193,1,100,55695,0,0
449,read,24370,1,100,56125,0,0
450,read,39871,1,100,55905,0,0
451,read,14775,1,100,55754,0,0
452,read,37035,1,100,2775,0,0
453,read,87943,1,100,55203,0,0
454,read,84284,1,100,56095,0,0
455,read,42575,1,100,2785,0,0
456,read,27789,1,100,55905,0,0
457,read,67567,1,100,55835,0,0
458,read,3404,1,100,2635,0,0
459,read,98129,1,100,56396,0,0
460,read,47387,1,100,56015,0,0
461,read,20038,1,100,56306,0,0
462,read,61066,1,100,55544,0,0
463,read,29483,1,100,55374,0,0
464,read,54302,1,100,55885,0,0
465,read,29105,1,100,56245,0,0
466,read,66920,1,100,56095,0,0
467,read,86825,1,100,56015,0,0
468,read,56965,1,100,60133,0,0
469,read,51207,1,100,55594,0,0
470,read,73464,1,100,56276,0,0
471,read,24768,1,100,56586,0,0
472,read,51130,1,100,56406,0,0
473,read,10102,1,100,56557,0,0
474,read,65135,1,100,97614,0,0
475,read,5583,1,100,2705,0,0
476,read,37590,1,100,55143,0,0
477,read,18249,1,100,56466,0,0
478,read,62344,1,100,55755,0,0
479,read,95843,1,100,56376,0,0
