workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,layers_92,async_win,10,128,363.12,427.45,357.53,29.01,100.0,371.74,195.44,111.04,66.20,87.00,738.05,475.97,0.0
A,orig,layers_92,pread,5,128,176.70,182.59,175.86,2.87,100.0,8235.34,194.95,8040.17,,,8417.47,8221.79,0.0
A,orig,leaf_freq_K10,async,10,128,487.01,492.01,483.66,2.66,100.0,304.94,228.97,75.59,,,791.52,562.34,0.0
A,orig,leaf_freq_K10,async_bulk,5,128,487.91,488.89,484.75,1.51,100.0,305.25,229.46,14.70,61.23,10.00,793.69,502.55,0.0
A,orig,leaf_freq_K10,async_win,10,128,489.60,545.54,486.93,29.45,100.0,307.12,230.77,14.47,61.34,10.00,797.19,504.63,0.0
A,orig,leaf_freq_K10,pread,5,128,491.24,492.40,483.08,3.55,100.0,1152.52,228.73,924.75,,,1640.66,1411.93,0.0
A,orig,leaf_rand_K10,async,10,128,487.50,496.61,482.62,5.04,100.0,305.87,230.37,75.38,,,794.02,563.96,0.0
A,orig,leaf_rand_K10,async_bulk,5,128,484.89,489.46,420.49,26.25,100.0,308.52,229.81,15.36,61.59,10.00,790.97,499.35,0.0
A,orig,leaf_rand_K10,async_win,10,128,488.35,491.52,485.43,1.98,100.0,306.37,229.25,15.30,61.66,10.00,795.31,503.44,0.0
A,orig,leaf_rand_K10,pread,5,128,485.96,494.06,483.37,4.23,100.0,1093.37,228.70,864.67,,,1576.74,1348.04,0.0
A,orig,learned_markov_14,async,10,128,359.94,401.39,330.62,24.11,100.0,310.57,229.86,80.52,,,672.02,441.21,0.0
A,orig,learned_markov_14,async_bulk,5,128,360.04,397.77,333.32,23.83,100.0,311.87,229.72,19.75,61.52,13.00,671.91,380.71,0.0
A,orig,learned_markov_14,async_win,10,128,359.79,404.01,324.39,27.47,100.0,310.61,229.22,19.48,61.66,13.00,670.60,378.77,0.0
A,orig,learned_markov_14,pread,5,128,366.82,373.13,328.99,15.96,100.0,1478.39,229.20,1248.51,,,1820.90,1592.61,0.0
A,orig,learned_markov_28,async,10,128,361.21,404.45,356.25,18.05,100.0,327.01,229.61,97.22,,,688.21,458.45,0.0
A,orig,learned_markov_28,async_bulk,5,128,361.18,399.75,359.06,19.55,100.0,327.52,230.76,34.22,62.47,26.00,689.41,396.11,0.0
A,orig,learned_markov_28,async_win,10,128,362.54,407.25,356.04,21.21,100.0,327.09,230.60,35.09,62.22,26.00,690.68,397.74,0.0
A,orig,learned_markov_28,pread,5,128,358.23,393.06,354.10,18.21,100.0,2767.95,228.73,2538.93,,,3122.84,2893.82,0.0
B,orig,2d,async,10,128,410.71,421.27,406.87,5.31,100.0,316.34,230.40,85.56,,,725.85,497.10,0.0
B,orig,2d,async_bulk,5,128,401.67,414.87,397.57,7.00,100.0,313.66,229.23,22.66,61.65,13.00,717.28,424.84,0.0
B,orig,2d,async_win,10,128,413.40,419.93,409.82,3.59,100.0,316.20,230.79,22.63,62.44,13.00,727.98,435.34,0.0
B,orig,2d,pread,5,128,407.83,414.33,403.91,4.06,100.0,1960.09,230.08,1731.37,,,2370.29,2142.12,0.0
B,orig,2e_K10,async,10,128,412.78,439.73,397.99,13.08,100.0,326.88,228.56,97.90,,,740.54,512.68,0.0
B,orig,2e_K10,async_bulk,5,128,405.54,411.59,399.66,4.82,100.0,326.01,229.34,33.90,62.44,23.00,731.73,439.44,0.0
B,orig,2e_K10,async_win,10,128,406.31,430.49,395.62,12.62,100.0,325.43,229.16,34.09,62.45,23.00,733.01,441.08,0.0
B,orig,2e_K10,pread,5,128,413.30,419.21,404.18,6.11,100.0,2852.45,230.71,2624.55,,,3262.32,3031.61,0.0
B,orig,2e_K500,async,10,128,454.48,458.94,399.99,16.69,100.0,1088.05,229.49,857.52,,,1543.02,1312.26,0.0
B,orig,2e_K500,async_bulk,5,128,453.45,458.20,451.93,2.60,100.0,1002.80,228.10,683.85,90.48,460.00,1455.87,1136.92,0.0
B,orig,2e_K500,async_win,10,128,454.98,519.98,449.90,35.43,100.0,1014.04,229.87,693.96,90.63,460.00,1469.30,1147.92,0.0
B,orig,2e_K500,pread,5,128,451.61,457.46,407.85,22.50,100.0,19046.74,230.30,18818.86,,,19456.45,19228.57,0.0
B,orig,2f_slru,async,10,128,97.44,99.94,95.87,1.36,100.0,7323.69,196.50,7127.02,,,7422.47,7225.81,0.0
B,orig,2f_slru,async_bulk,5,128,630.42,668.26,613.86,21.99,1.4,679.55,198.81,79.99,400.74,2.00,1310.26,710.70,0.0
B,orig,2f_slru,async_win,10,128,97.85,99.17,92.48,1.94,85.1,2557.55,195.62,1947.18,398.11,139.00,2654.21,2043.84,0.0
B,orig,2f_slru,pread,5,128,96.80,101.13,91.55,3.42,100.0,18567.48,195.73,18369.11,,,18663.59,18465.22,0.0
B,orig,2f_top100,async,10,128,410.69,430.07,398.51,11.66,100.0,427.70,228.87,199.53,,,836.58,605.89,0.0
B,orig,2f_top100,async_bulk,5,128,405.68,440.26,403.95,15.81,100.0,421.55,229.93,126.16,66.73,95.00,841.19,544.17,0.0
B,orig,2f_top100,async_win,10,128,410.71,420.35,401.44,6.31,100.0,423.98,229.00,128.48,66.62,95.00,836.15,541.08,0.0
B,orig,2f_top100,pread,5,128,407.99,415.13,398.07,6.76,100.0,8941.98,228.93,8713.05,,,9350.52,9116.52,0.0
B,orig,2f_top14,async,10,128,411.53,417.18,399.52,5.94,100.0,311.71,229.09,82.06,,,722.51,494.00,0.0
B,orig,2f_top14,async_bulk,5,128,409.18,416.90,402.02,5.43,100.0,314.57,230.12,21.32,62.29,13.00,724.80,430.50,0.0
B,orig,2f_top14,async_win,10,128,409.64,417.13,400.95,5.04,100.0,312.48,228.94,20.59,62.32,13.00,720.75,430.15,0.0
B,orig,2f_top14,pread,5,128,409.32,414.57,404.94,3.58,100.0,1500.74,229.56,1276.11,,,1910.02,1684.66,0.0
B,orig,2f_top28,async,10,128,409.87,415.41,401.15,4.48,100.0,329.13,229.77,98.99,,,738.68,509.00,0.0
B,orig,2f_top28,async_bulk,5,128,409.00,414.35,404.08,3.62,100.0,330.59,229.26,39.21,62.73,27.00,738.99,447.40,0.0
B,orig,2f_top28,async_win,10,128,417.18,441.14,404.59,12.26,100.0,331.12,229.66,38.22,62.95,27.00,748.57,456.49,0.0
B,orig,2f_top28,pread,5,128,403.98,410.88,403.26,3.36,100.0,2638.18,228.29,2411.27,,,3042.16,2815.25,0.0
B,orig,2f_top500,async,10,128,455.19,457.46,405.11,15.22,100.0,1067.79,228.48,839.72,,,1524.93,1295.42,0.0
B,orig,2f_top500,async_bulk,5,128,455.87,456.58,451.64,1.89,100.0,999.52,230.31,679.34,91.66,449.00,1455.39,1135.21,0.0
B,orig,2f_top500,async_win,10,128,454.99,458.91,397.43,21.45,100.0,1000.24,229.50,679.44,90.80,449.00,1455.94,1133.76,0.0
B,orig,2f_top500,pread,5,128,451.61,455.16,402.43,23.76,100.0,18881.79,229.71,18651.84,,,19334.73,19104.78,0.0
B,orig,baseline,baseline,10,128,742.70,746.50,732.21,5.09,0.0,0.00,0.00,0.00,,,742.70,742.70,0.0
B,orig,layers_5,async,10,128,410.76,419.59,403.47,5.69,100.0,298.47,228.92,69.28,,,709.61,480.90,0.0
B,orig,layers_5,async_bulk,5,128,407.88,417.24,395.88,7.77,100.0,300.71,231.44,7.28,61.09,2.00,712.64,415.42,0.0
B,orig,layers_5,async_win,10,128,413.67,537.94,398.33,59.78,100.0,299.09,229.88,7.64,60.89,2.00,715.30,421.62,0.0
