workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,1153.83,0.00,0.00,0.00,,,1153.83,1153.83,2.05,140.00,241.00,1.30,42816252,2026-09-23T04:42:38Z
A,ta,baseline,baseline,128,1,1,0.00,0.00,584.67,0.00,0.00,0.00,,,584.67,584.67,2.17,191.00,264.00,1.30,42816356,2026-09-23T04:42:38Z
A,1gb,baseline,baseline,128,1,1,0.00,0.00,1316.13,0.00,0.00,0.00,,,1316.13,1316.13,2.19,187.00,266.00,1.30,42816304,2026-09-23T04:42:39Z
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1013.30,0.00,0.00,0.00,,,1013.30,1013.30,2.15,138.00,227.00,1.30,42818944,2026-09-23T04:42:39Z
B,ta,baseline,baseline,128,1,1,0.00,0.00,1079.70,0.00,0.00,0.00,,,1079.70,1079.70,2.22,181.00,260.00,1.28,42820168,2026-09-23T04:42:39Z
B,1gb,baseline,baseline,128,1,1,0.00,0.00,1380.23,0.00,0.00,0.00,,,1380.23,1380.23,2.24,182.00,256.00,1.28,42819524,2026-09-23T04:42:40Z
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,1161.88,0.00,0.00,0.00,,,1161.88,1161.88,1.55,18.00,28.00,1.28,42821276,2026-09-23T04:42:40Z
C,ta,baseline,baseline,128,1,1,0.00,0.00,814.49,0.00,0.00,0.00,,,814.49,814.49,1.63,19.00,38.00,1.28,42822384,2026-09-23T04:42:40Z
C,1gb,baseline,baseline,128,1,1,0.00,0.00,1221.74,0.00,0.00,0.00,,,1221.74,1221.74,1.71,41.00,59.00,1.28,42809204,2026-09-23T04:42:41Z
A,vacuum,layers_5,pread,128,1,1,0.00,100.00,620.58,786.94,202.78,584.16,,,1407.52,1204.74,1.97,140.00,247.00,1.28,42809900,2026-09-23T04:42:41Z
A,vacuum,layers_5,async,128,1,1,0.00,100.00,654.04,265.05,195.16,69.89,,,919.09,723.93,1.99,140.00,245.00,1.28,42810560,2026-09-23T04:42:41Z
A,vacuum,layers_92,pread,128,1,1,0.00,100.00,672.36,7775.10,210.47,7564.63,,,8447.46,8236.99,2.02,140.00,248.00,1.28,42810620,2026-09-23T04:42:41Z
A,vacuum,layers_92,async,128,1,1,0.00,100.00,668.46,391.95,209.07,182.87,,,1060.41,851.33,2.01,140.00,246.00,1.28,42811436,2026-09-23T04:42:42Z
A,vacuum,2d,pread,128,1,1,0.00,100.00,658.16,1392.67,208.72,1183.94,,,2050.83,1842.10,2.00,140.00,248.00,1.28,42811444,2026-09-23T04:42:42Z
