workload,strategy,family,R_ws,original_R_ow,replication_R_ow,original_abs_gap,replication_abs_gap,original_pair_count,replication_pair_count,original_baseline_first,original_target_first,replication_baseline_first,replication_target_first,original_sign,replication_sign,replication_sign_agree_frac,classification,classification_label
C,layers_92,sign_flip,0.4230,-0.7363,0.3832,1.1593,0.0398,3,20,2,1,10,10,-,+,0.70,B,original_batch_likely_position_or_state_confounded
C,2d,sign_flip,0.4330,-0.6360,0.4316,1.0690,0.0014,3,20,3,0,10,10,-,+,0.60,B,original_batch_likely_position_or_state_confounded
C_hit,2e_K40,sign_flip,0.4612,-0.4844,0.4865,0.9456,0.0253,9,18,7,2,9,9,-,+,0.83,B,original_batch_likely_position_or_state_confounded
C,layers_5,ws_neutral_ow_negative,0.0275,-0.7129,0.4185,0.7404,0.3910,3,20,3,0,10,10,-,+,0.75,B,original_negative_effect_likely_batch_or_state_sensitive
YCh01,layers_5,ws_neutral_ow_positive,0.0252,0.3766,-0.2425,0.3514,0.2677,3,20,2,1,10,10,+,-,0.55,B,prior_discrepancy_likely_batch_or_state_sensitive
YCu,layers_5,ws_neutral_ow_positive,0.0310,0.3760,0.2900,0.3450,0.2590,3,20,2,1,10,10,+,+,0.55,B,prior_discrepancy_likely_batch_or_state_sensitive
