workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,576.26
YD,orig,0,2e_K10_static,439.12
YD,orig,0,layers_92_static,268.24
YD,orig,1,baseline,547.61
YD,orig,1,2e_K10_static,354.48
YD,orig,1,layers_92_static,257.97
YD,orig,2,baseline,569.98
YD,orig,2,2e_K10_static,417.49
YD,orig,2,layers_92_static,271.99
YD,orig,3,baseline,576.76
YD,orig,3,2e_K10_static,126.58
YD,orig,3,layers_92_static,287.75
YD,orig,4,baseline,575.76
YD,orig,4,2e_K10_static,430.91
YD,orig,4,layers_92_static,317.56
YD,orig,5,baseline,525.00
YD,orig,5,2e_K10_static,127.38
YD,orig,5,layers_92_static,228.65
YD,orig,6,baseline,558.27
YD,orig,6,2e_K10_static,443.90
YD,orig,6,layers_92_static,262.23
YD,orig,7,baseline,518.46
YD,orig,7,2e_K10_static,128.19
YD,orig,7,layers_92_static,222.46
YD,orig,8,baseline,582.76
YD,orig,8,2e_K10_static,462.00
YD,orig,8,layers_92_static,315.40
YD,orig,9,baseline,512.73
YD,orig,9,2e_K10_static,351.65
YD,orig,9,layers_92_static,241.30
YD,orig,10,baseline,544.52
YD,orig,10,2e_K10_static,440.88
YD,orig,10,layers_92_static,244.98
YE,orig,0,baseline,543.14
YE,orig,0,2e_K10_static,265.18
YE,orig,0,layers_92_static,266.63
YE,orig,1,baseline,530.53
YE,orig,1,2e_K10_static,261.00
YE,orig,1,layers_92_static,260.62
YE,orig,2,baseline,359.40
YE,orig,2,2e_K10_static,102.53
YE,orig,2,layers_92_static,257.07
YE,orig,3,baseline,525.79
YE,orig,3,2e_K10_static,290.84
YE,orig,3,layers_92_static,285.94
YE,orig,4,baseline,519.07
YE,orig,4,2e_K10_static,264.50
YE,orig,4,layers_92_static,265.16
YE,orig,5,baseline,597.82
YE,orig,5,2e_K10_static,315.53
YE,orig,5,layers_92_static,316.19
YE,orig,6,baseline,593.82
YE,orig,6,2e_K10_static,310.96
YE,orig,6,layers_92_static,309.82
YE,orig,7,baseline,513.17
YE,orig,7,2e_K10_static,270.50
YE,orig,7,layers_92_static,242.79
YE,orig,8,baseline,595.87
YE,orig,8,2e_K10_static,258.76
YE,orig,8,layers_92_static,257.35
YE,orig,9,baseline,540.31
YE,orig,9,2e_K10_static,257.20
YE,orig,9,layers_92_static,264.51
YE,orig,10,baseline,544.60
YE,orig,10,2e_K10_static,258.38
YE,orig,10,layers_92_static,257.67
