workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,516.37
YD,orig,0,2e_K10_static,441.05
YD,orig,0,layers_92_static,265.05
YD,orig,1,baseline,522.83
YD,orig,1,2e_K10_static,446.54
YD,orig,1,layers_92_static,255.94
YD,orig,2,baseline,548.67
YD,orig,2,2e_K10_static,437.53
YD,orig,2,layers_92_static,266.53
YD,orig,3,baseline,559.14
YD,orig,3,2e_K10_static,96.74
YD,orig,3,layers_92_static,304.04
YD,orig,4,baseline,595.84
YD,orig,4,2e_K10_static,142.03
YD,orig,4,layers_92_static,309.90
YD,orig,5,baseline,610.82
YD,orig,5,2e_K10_static,138.09
YD,orig,5,layers_92_static,305.51
YD,orig,6,baseline,549.98
YD,orig,6,2e_K10_static,128.11
YD,orig,6,layers_92_static,240.85
YD,orig,7,baseline,585.75
YD,orig,7,2e_K10_static,471.18
YD,orig,7,layers_92_static,326.43
YD,orig,8,baseline,542.80
YD,orig,8,2e_K10_static,438.48
YD,orig,8,layers_92_static,261.44
YD,orig,9,baseline,531.36
YD,orig,9,2e_K10_static,131.66
YD,orig,9,layers_92_static,249.28
YD,orig,10,baseline,620.00
YD,orig,10,2e_K10_static,141.81
YD,orig,10,layers_92_static,305.39
YE,orig,0,baseline,529.22
YE,orig,0,2e_K10_static,261.83
YE,orig,0,layers_92_static,264.22
YE,orig,1,baseline,585.02
YE,orig,1,2e_K10_static,102.10
YE,orig,1,layers_92_static,265.87
YE,orig,2,baseline,525.39
YE,orig,2,2e_K10_static,262.01
YE,orig,2,layers_92_static,264.95
YE,orig,3,baseline,526.08
YE,orig,3,2e_K10_static,98.41
YE,orig,3,layers_92_static,262.93
YE,orig,4,baseline,647.86
YE,orig,4,2e_K10_static,322.80
YE,orig,4,layers_92_static,322.06
YE,orig,5,baseline,617.87
YE,orig,5,2e_K10_static,97.02
YE,orig,5,layers_92_static,295.69
YE,orig,6,baseline,523.29
YE,orig,6,2e_K10_static,263.20
YE,orig,6,layers_92_static,264.38
YE,orig,7,baseline,567.79
YE,orig,7,2e_K10_static,301.66
YE,orig,7,layers_92_static,301.50
YE,orig,8,baseline,596.67
YE,orig,8,2e_K10_static,295.36
YE,orig,8,layers_92_static,295.12
YE,orig,9,baseline,537.33
YE,orig,9,2e_K10_static,270.75
YE,orig,9,layers_92_static,273.16
YE,orig,10,baseline,535.90
YE,orig,10,2e_K10_static,293.29
YE,orig,10,layers_92_static,270.96
