workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,570.65
YD,orig,0,2e_K10_static,109.47
YD,orig,0,layers_92_static,246.21
YD,orig,1,baseline,606.34
YD,orig,1,2e_K10_static,482.02
YD,orig,1,layers_92_static,257.88
YD,orig,2,baseline,614.98
YD,orig,2,2e_K10_static,121.65
YD,orig,2,layers_92_static,251.78
YD,orig,3,baseline,511.76
YD,orig,3,2e_K10_static,428.44
YD,orig,3,layers_92_static,251.13
YD,orig,4,baseline,607.77
YD,orig,4,2e_K10_static,199.83
YD,orig,4,layers_92_static,269.36
YD,orig,5,baseline,574.16
YD,orig,5,2e_K10_static,120.46
YD,orig,5,layers_92_static,281.94
YD,orig,6,baseline,537.97
YD,orig,6,2e_K10_static,426.15
YD,orig,6,layers_92_static,249.44
YD,orig,7,baseline,592.53
YD,orig,7,2e_K10_static,442.60
YD,orig,7,layers_92_static,257.45
YD,orig,8,baseline,528.94
YD,orig,8,2e_K10_static,122.88
YD,orig,8,layers_92_static,275.95
YD,orig,9,baseline,552.20
YD,orig,9,2e_K10_static,428.72
YD,orig,9,layers_92_static,248.50
YD,orig,10,baseline,518.01
YD,orig,10,2e_K10_static,434.83
YD,orig,10,layers_92_static,249.62
YE,orig,0,baseline,557.38
YE,orig,0,2e_K10_static,248.05
YE,orig,0,layers_92_static,252.97
YE,orig,1,baseline,510.02
YE,orig,1,2e_K10_static,259.75
YE,orig,1,layers_92_static,257.08
YE,orig,2,baseline,526.43
YE,orig,2,2e_K10_static,91.55
YE,orig,2,layers_92_static,249.73
YE,orig,3,baseline,586.82
YE,orig,3,2e_K10_static,252.29
YE,orig,3,layers_92_static,251.12
YE,orig,4,baseline,529.84
YE,orig,4,2e_K10_static,277.44
YE,orig,4,layers_92_static,279.23
YE,orig,5,baseline,413.37
YE,orig,5,2e_K10_static,315.74
YE,orig,5,layers_92_static,362.94
YE,orig,6,baseline,588.26
YE,orig,6,2e_K10_static,256.32
YE,orig,6,layers_92_static,258.27
YE,orig,7,baseline,600.79
YE,orig,7,2e_K10_static,93.03
YE,orig,7,layers_92_static,274.19
YE,orig,8,baseline,533.09
YE,orig,8,2e_K10_static,252.91
YE,orig,8,layers_92_static,250.19
YE,orig,9,baseline,561.07
YE,orig,9,2e_K10_static,256.55
YE,orig,9,layers_92_static,269.56
YE,orig,10,baseline,585.41
YE,orig,10,2e_K10_static,289.94
YE,orig,10,layers_92_static,277.47
