workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,lp_sorted,pread,128,1,1,0.00,100.00,97.87,18521.13,183.18,18337.94,,,18619.00,18435.81,1.52,0.00,278.00,1.08,42976396,2026-09-23T02:44:21Z
A,orig,lp_sorted,async,128,1,1,0.00,100.00,100.60,7360.94,179.88,7181.06,,,7461.54,7281.66,1.55,0.00,278.00,1.08,42974308,2026-09-23T02:44:21Z
A,orig,lp_shuf,pread,128,1,1,0.00,100.00,101.50,263998.31,152.22,263846.09,,,264099.81,263947.59,1.54,0.00,278.00,1.08,42977044,2026-09-23T02:44:21Z
A,orig,lp_shuf,async,128,1,1,0.00,100.00,99.06,7038.80,153.08,6885.73,,,7137.86,6984.79,1.56,0.00,278.00,1.08,42974832,2026-09-23T02:44:22Z
B,orig,lp_sorted,pread,128,1,1,0.00,100.00,95.89,18158.34,153.39,18004.95,,,18254.23,18100.84,1.56,0.00,278.00,1.08,42977752,2026-09-23T02:44:22Z
B,orig,lp_sorted,async,128,1,1,0.00,100.00,98.17,7277.04,147.90,7129.14,,,7375.21,7227.31,1.62,0.00,278.00,1.08,42967352,2026-09-23T02:44:22Z
B,orig,lp_shuf,pread,128,1,1,0.00,100.00,100.33,269742.03,151.07,269590.96,,,269842.36,269691.29,1.60,0.00,278.00,1.08,42971288,2026-09-23T02:44:23Z
B,orig,lp_shuf,async,128,1,1,0.00,100.00,96.77,7030.89,151.81,6879.08,,,7127.66,6975.85,1.61,0.00,278.00,1.08,42986100,2026-09-23T02:44:23Z
C,orig,lp_sorted,pread,128,1,1,0.00,100.00,91.43,3054.71,150.83,2903.88,,,3146.14,2995.31,1.51,0.00,37.00,1.08,42988308,2026-09-23T02:44:23Z
C,orig,lp_sorted,async,128,1,1,0.00,100.00,92.94,849.33,150.54,698.78,,,942.27,791.72,1.52,0.00,37.00,1.08,42989320,2026-09-23T02:44:23Z
C,orig,lp_shuf,pread,128,1,1,0.00,100.00,92.11,28883.78,150.85,28732.93,,,28975.89,28825.04,1.50,0.00,37.00,1.08,42989664,2026-09-23T02:44:24Z
C,orig,lp_shuf,async,128,1,1,0.00,98.50,89.11,801.78,152.82,648.96,,,890.89,738.07,1.51,0.00,37.00,1.08,42990120,2026-09-23T02:44:24Z
C_hit,orig,lp_sorted,pread,128,1,1,0.00,100.00,88.94,4814.11,144.05,4670.06,,,4903.05,4759.00,1.53,0.00,62.00,1.08,42989920,2026-09-23T02:44:24Z
C_hit,orig,lp_sorted,async,128,1,1,0.00,100.00,89.99,1516.54,145.48,1371.06,,,1606.53,1461.05,1.53,0.00,62.00,1.08,42991552,2026-09-23T02:44:24Z
C_hit,orig,lp_shuf,pread,128,1,1,0.00,100.00,93.65,52967.76,145.28,52822.48,,,53061.41,52916.13,1.53,0.00,62.00,1.08,42991584,2026-09-23T02:44:25Z
C_hit,orig,lp_shuf,async,128,1,1,0.00,99.80,89.35,1529.76,140.29,1389.46,,,1619.11,1478.81,1.54,0.00,62.00,1.08,42992740,2026-09-23T02:44:25Z
A,orig,lp_sorted,pread,128,2,0,0.00,100.00,93.06,18328.23,139.28,18188.94,,,18421.29,18282.00,1.54,0.00,278.00,1.08,42993656,2026-09-23T02:44:25Z
A,orig,lp_shuf,pread,128,2,0,0.00,100.00,98.66,266259.67,140.66,266119.00,,,266358.33,266217.66,1.52,0.00,278.00,1.08,42994320,2026-09-23T02:44:26Z
B,orig,lp_sorted,pread,128,2,0,0.00,100.00,95.26,18049.59,146.67,17902.93,,,18144.85,17998.19,1.57,0.00,278.00,1.08,42994412,2026-09-23T02:44:26Z
B,orig,lp_shuf,pread,128,2,0,0.00,100.00,100.12,271392.16,140.57,271251.58,,,271492.28,271351.70,1.57,0.00,278.00,1.08,42994552,2026-09-23T02:44:27Z
C,orig,lp_sorted,pread,128,2,0,0.00,100.00,91.16,3000.57,143.77,2856.80,,,3091.73,2947.96,1.52,0.00,37.00,1.08,42995200,2026-09-23T02:44:27Z
C,orig,lp_shuf,pread,128,2,0,0.00,100.00,92.81,28800.67,138.59,28662.08,,,28893.48,28754.89,1.52,0.00,37.00,1.08,42993928,2026-09-23T02:44:27Z
C_hit,orig,lp_sorted,pread,128,2,0,0.00,100.00,93.66,4813.01,141.54,4671.47,,,4906.67,4765.13,1.53,0.00,62.00,1.08,43005068,2026-09-23T02:44:27Z
C_hit,orig,lp_shuf,pread,128,2,0,0.00,100.00,93.76,53057.99,138.28,52919.71,,,53151.75,53013.47,1.53,0.00,62.00,1.08,43005396,2026-09-23T02:44:28Z
A,orig,lp_sorted,pread,128,3,0,0.00,100.00,94.98,18070.93,147.11,17923.83,,,18165.91,18018.81,1.52,0.00,278.00,1.08,43006576,2026-09-23T02:44:28Z
A,orig,lp_shuf,pread,128,3,0,0.00,100.00,104.03,266150.68,138.10,266012.58,,,266254.71,266116.61,1.54,0.00,278.00,1.07,42985096,2026-09-23T02:44:28Z
B,orig,lp_sorted,pread,128,3,0,0.00,100.00,89.48,18252.08,141.97,18110.12,,,18341.56,18199.60,1.56,0.00,278.00,1.07,42985400,2026-09-23T02:44:29Z
B,orig,lp_shuf,pread,128,3,0,0.00,100.00,98.04,270332.46,140.54,270191.92,,,270430.50,270289.96,1.59,0.00,278.00,1.07,42985848,2026-09-23T02:44:29Z
C,orig,lp_sorted,pread,128,3,0,0.00,100.00,91.82,3061.26,150.17,2911.08,,,3153.08,3002.90,1.53,0.00,37.00,1.07,42986960,2026-09-23T02:44:30Z
C,orig,lp_shuf,pread,128,3,0,0.00,100.00,92.54,28789.53,141.09,28648.45,,,28882.07,28740.99,1.51,0.00,37.00,1.07,42987252,2026-09-23T02:44:30Z
C_hit,orig,lp_sorted,pread,128,3,0,0.00,100.00,92.81,4688.44,141.21,4547.24,,,4781.25,4640.05,1.52,0.00,62.00,1.07,42987016,2026-09-23T02:44:30Z
C_hit,orig,lp_shuf,pread,128,3,0,0.00,100.00,99.00,53460.53,140.33,53320.19,,,53559.53,53419.19,1.52,0.00,62.00,1.07,42987800,2026-09-23T02:44:30Z
A,orig,lp_sorted,pread,128,4,0,0.00,100.00,92.32,18546.92,140.03,18406.88,,,18639.24,18499.20,1.52,0.00,278.00,1.07,42988352,2026-09-23T02:44:31Z
A,orig,lp_shuf,pread,128,4,0,0.00,100.00,96.23,265762.87,140.15,265622.72,,,265859.10,265718.95,1.55,0.00,278.00,1.07,42988472,2026-09-23T02:44:31Z
B,orig,lp_sorted,pread,128,4,0,0.00,100.00,95.12,17465.31,140.47,17324.83,,,17560.43,17419.95,1.56,0.00,278.00,1.07,42987800,2026-09-23T02:44:31Z
B,orig,lp_shuf,pread,128,4,0,0.00,100.00,101.33,271308.86,176.80,271132.06,,,271410.19,271233.39,1.57,0.00,278.00,1.07,42985500,2026-09-23T02:44:32Z
C,orig,lp_sorted,pread,128,4,0,0.00,100.00,93.42,2899.90,143.03,2756.87,,,2993.32,2850.29,1.50,0.00,37.00,1.07,42986208,2026-09-23T02:44:32Z
C,orig,lp_shuf,pread,128,4,0,0.00,100.00,91.87,28941.53,140.00,28801.53,,,29033.40,28893.40,1.51,0.00,37.00,1.07,42974864,2026-09-23T02:44:32Z
C_hit,orig,lp_sorted,pread,128,4,0,0.00,100.00,96.29,4717.80,141.93,4575.87,,,4814.09,4672.16,1.52,0.00,62.00,1.07,42984936,2026-09-23T02:44:33Z
C_hit,orig,lp_shuf,pread,128,4,0,0.00,100.00,95.75,53426.32,142.55,53283.77,,,53522.07,53379.52,1.53,0.00,62.00,1.07,42985472,2026-09-23T02:44:33Z
A,orig,lp_sorted,pread,128,5,0,0.00,100.00,102.13,18422.90,140.19,18282.70,,,18525.03,18384.83,1.53,0.00,278.00,1.07,42986548,2026-09-23T02:44:33Z
A,orig,lp_shuf,pread,128,5,0,0.00,100.00,104.07,264994.10,142.62,264851.48,,,265098.17,264955.55,1.54,0.00,278.00,1.07,42986104,2026-09-23T02:44:34Z
B,orig,lp_sorted,pread,128,5,0,0.00,100.00,97.46,18015.92,141.73,17874.19,,,18113.38,17971.65,1.59,0.00,278.00,1.07,42987656,2026-09-23T02:44:34Z
B,orig,lp_shuf,pread,128,5,0,0.00,100.00,100.37,269485.35,141.28,269344.08,,,269585.72,269444.45,1.58,0.00,278.00,1.07,42987288,2026-09-23T02:44:35Z
C,orig,lp_sorted,pread,128,5,0,0.00,100.00,94.95,2840.42,141.69,2698.73,,,2935.37,2793.68,1.50,0.00,37.00,1.07,42987680,2026-09-23T02:44:35Z
C,orig,lp_shuf,pread,128,5,0,0.00,100.00,91.88,28840.60,140.85,28699.75,,,28932.48,28791.63,1.50,0.00,37.00,1.07,42988168,2026-09-23T02:44:35Z
C_hit,orig,lp_sorted,pread,128,5,0,0.00,100.00,93.40,4640.16,139.80,4500.36,,,4733.56,4593.76,1.51,0.00,62.00,1.07,42988080,2026-09-23T02:44:35Z
