workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,499.24
YD,orig,0,2e_K10_static,96.69
YD,orig,0,layers_92_static,233.22
YD,orig,1,baseline,364.69
YD,orig,1,2e_K10_static,425.69
YD,orig,1,layers_92_static,283.25
YD,orig,2,baseline,529.45
YD,orig,2,2e_K10_static,443.30
YD,orig,2,layers_92_static,260.73
YD,orig,3,baseline,592.23
YD,orig,3,2e_K10_static,466.72
YD,orig,3,layers_92_static,307.51
YD,orig,4,baseline,545.39
YD,orig,4,2e_K10_static,443.29
YD,orig,4,layers_92_static,263.92
YD,orig,5,baseline,595.98
YD,orig,5,2e_K10_static,477.56
YD,orig,5,layers_92_static,294.58
YD,orig,6,baseline,479.57
YD,orig,6,2e_K10_static,126.95
YD,orig,6,layers_92_static,239.76
YD,orig,7,baseline,551.18
YD,orig,7,2e_K10_static,128.03
YD,orig,7,layers_92_static,291.79
YD,orig,8,baseline,534.62
YD,orig,8,2e_K10_static,413.23
YD,orig,8,layers_92_static,254.31
YD,orig,9,baseline,582.58
YD,orig,9,2e_K10_static,146.76
YD,orig,9,layers_92_static,311.46
YD,orig,10,baseline,556.39
YD,orig,10,2e_K10_static,148.58
YD,orig,10,layers_92_static,294.57
YE,orig,0,baseline,602.61
YE,orig,0,2e_K10_static,263.68
YE,orig,0,layers_92_static,264.07
YE,orig,1,baseline,546.50
YE,orig,1,2e_K10_static,265.88
YE,orig,1,layers_92_static,265.04
YE,orig,2,baseline,580.03
YE,orig,2,2e_K10_static,261.22
YE,orig,2,layers_92_static,264.04
YE,orig,3,baseline,369.60
YE,orig,3,2e_K10_static,98.24
YE,orig,3,layers_92_static,276.85
YE,orig,4,baseline,528.85
YE,orig,4,2e_K10_static,265.19
YE,orig,4,layers_92_static,266.83
YE,orig,5,baseline,535.28
YE,orig,5,2e_K10_static,260.62
YE,orig,5,layers_92_static,258.35
YE,orig,6,baseline,375.75
YE,orig,6,2e_K10_static,99.36
YE,orig,6,layers_92_static,316.45
YE,orig,7,baseline,617.75
YE,orig,7,2e_K10_static,324.41
YE,orig,7,layers_92_static,323.56
YE,orig,8,baseline,556.14
YE,orig,8,2e_K10_static,290.75
YE,orig,8,layers_92_static,290.68
YE,orig,9,baseline,704.10
YE,orig,9,2e_K10_static,339.30
YE,orig,9,layers_92_static,360.50
YE,orig,10,baseline,667.13
YE,orig,10,2e_K10_static,297.69
YE,orig,10,layers_92_static,359.72
