workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,lp_shuf,pread,5,128,101.70,102.55,100.21,0.81,100.0,281170.96,178.35,280992.61,,,281272.66,281094.31,0.0
A,orig,lp_sorted,pread,5,128,97.37,98.79,96.19,1.05,100.0,18219.78,177.76,18042.79,,,18318.78,18141.79,0.0
B,orig,lp_shuf,pread,5,128,101.39,105.07,100.82,1.91,100.0,273094.56,177.66,272916.97,,,273195.95,273018.36,0.0
B,orig,lp_sorted,pread,5,128,97.69,98.47,92.94,2.00,100.0,18709.03,177.93,18537.05,,,18801.97,18629.99,0.0
C,orig,lp_shuf,pread,5,128,96.90,97.00,96.78,0.09,100.0,27425.23,178.32,27246.74,,,27522.13,27343.64,0.0
C,orig,lp_sorted,pread,5,128,96.12,97.19,93.90,1.43,100.0,2873.86,177.35,2696.58,,,2970.95,2793.67,0.0
C_hit,orig,lp_shuf,pread,5,128,99.52,100.80,97.14,1.33,100.0,55917.12,178.37,55738.08,,,56014.26,55835.22,0.0
C_hit,orig,lp_sorted,pread,5,128,96.69,97.35,93.87,1.36,100.0,4717.33,178.58,4547.61,,,4811.20,4641.48,0.0
