workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,520.75
YD,orig,0,2e_K10_static,422.05
YD,orig,0,layers_92_static,261.41
YD,orig,1,baseline,352.04
YD,orig,1,2e_K10_static,433.78
YD,orig,1,layers_92_static,265.12
YD,orig,2,baseline,558.36
YD,orig,2,2e_K10_static,432.78
YD,orig,2,layers_92_static,260.01
YD,orig,3,baseline,520.08
YD,orig,3,2e_K10_static,133.88
YD,orig,3,layers_92_static,257.58
YD,orig,4,baseline,523.90
YD,orig,4,2e_K10_static,131.20
YD,orig,4,layers_92_static,252.09
YD,orig,5,baseline,479.55
YD,orig,5,2e_K10_static,123.58
YD,orig,5,layers_92_static,213.27
YD,orig,6,baseline,503.92
YD,orig,6,2e_K10_static,124.94
YD,orig,6,layers_92_static,225.69
YD,orig,7,baseline,484.98
YD,orig,7,2e_K10_static,119.80
YD,orig,7,layers_92_static,222.62
YD,orig,8,baseline,512.44
YD,orig,8,2e_K10_static,438.36
YD,orig,8,layers_92_static,253.69
YD,orig,9,baseline,580.16
YD,orig,9,2e_K10_static,447.26
YD,orig,9,layers_92_static,259.00
YD,orig,10,baseline,565.25
YD,orig,10,2e_K10_static,446.82
YD,orig,10,layers_92_static,262.89
YE,orig,0,baseline,572.53
YE,orig,0,2e_K10_static,262.94
YE,orig,0,layers_92_static,260.41
YE,orig,1,baseline,574.84
YE,orig,1,2e_K10_static,265.47
YE,orig,1,layers_92_static,263.60
YE,orig,2,baseline,644.97
YE,orig,2,2e_K10_static,93.44
YE,orig,2,layers_92_static,279.41
YE,orig,3,baseline,543.62
YE,orig,3,2e_K10_static,295.25
YE,orig,3,layers_92_static,259.35
YE,orig,4,baseline,551.67
YE,orig,4,2e_K10_static,261.57
YE,orig,4,layers_92_static,259.86
YE,orig,5,baseline,609.33
YE,orig,5,2e_K10_static,95.32
YE,orig,5,layers_92_static,264.70
YE,orig,6,baseline,542.18
YE,orig,6,2e_K10_static,96.60
YE,orig,6,layers_92_static,258.12
YE,orig,7,baseline,665.48
YE,orig,7,2e_K10_static,319.52
YE,orig,7,layers_92_static,285.27
YE,orig,8,baseline,608.42
YE,orig,8,2e_K10_static,283.64
YE,orig,8,layers_92_static,281.44
YE,orig,9,baseline,566.73
YE,orig,9,2e_K10_static,289.14
YE,orig,9,layers_92_static,295.83
YE,orig,10,baseline,648.74
YE,orig,10,2e_K10_static,292.68
YE,orig,10,layers_92_static,290.84
