strategy,workload_id,workload_family,seed,plan_sha256,selected_page_count,selected_interior_count,selected_leaf_count,reconstructed,loso_test_seed,parity_type,matches_frozen
2f_top28,native_ycsb_c_hot_hashed_01,YCh01,3,2666de8e2b8ad23e6337f384c872e2c63b20c0dca9c178d779e5673774363cc6,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_uniform,YCu,1,cd262561ba6bd10a86ec609b0cb396efd0a958cc024be00e68bcd65c743d55c4,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_uniform,YCu,2,cd262561ba6bd10a86ec609b0cb396efd0a958cc024be00e68bcd65c743d55c4,28,28,0,false,,exact_native_plan,true
2f_top28,native_ycsb_c_read_uniform,YCu,3,cd262561ba6bd10a86ec609b0cb396efd0a958cc024be00e68bcd65c743d55c4,28,28,0,false,,exact_native_plan,true
2f_top28,read_tail_hit_20k,C_hit,1,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,,exact_native_plan,true
2f_top28,read_tail_hit_20k,C_hit,2,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,,exact_native_plan,true
2f_top28,read_tail_hit_20k,C_hit,3,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,,exact_native_plan,true
2f_top28,read_tail_mixed_20k,C,1,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,,exact_native_plan,true
2f_top28,read_tail_mixed_20k,C,2,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,,exact_native_plan,true
2f_top28,read_tail_mixed_20k,C,3,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,,exact_native_plan,true
layers_5,native_ycsb_c_hot_hashed_01,YCh01,1,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,5,5,0,static,,structural_static,static
layers_5,native_ycsb_c_read_uniform,YCu,1,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,5,5,0,static,,structural_static,static
layers_5,read_tail_mixed_20k,C,1,eecb179459970a14889106aaf4df8ae19761cab38f174831dba9643223724f3a,5,5,0,static,,structural_static,static
layers_92,native_ycsb_c_hot_hashed_01,YCh01,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
layers_92,native_ycsb_c_read_uniform,YCu,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
layers_92,native_ycsb_c_read_zipf,YC,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
layers_92,read_tail_hit_20k,C_hit,1,37ed5e4682d1771c735edc93133bb8ecb77d772a992721b180a9cabaae28745e,92,92,0,static,,structural_static,static
learned_markov_14,native_ycsb_c_hot_hashed_01,YCh01,1,a7cad67b1359631dfe74b1b9e31fa4f2c982288e88023588a513d4d4c9dad4a9,14,14,0,false,1,exact_native_plan,true
learned_markov_14,native_ycsb_c_hot_hashed_01,YCh01,2,a7cad67b1359631dfe74b1b9e31fa4f2c982288e88023588a513d4d4c9dad4a9,14,14,0,false,2,exact_native_plan,true
learned_markov_14,native_ycsb_c_hot_hashed_01,YCh01,3,a7cad67b1359631dfe74b1b9e31fa4f2c982288e88023588a513d4d4c9dad4a9,14,14,0,false,3,exact_native_plan,true
learned_markov_14,native_ycsb_c_read_uniform,YCu,1,4c9c675483cbe295f1dec35409aae33b5edde476b7144a6eb58db388ba7f01d6,14,14,0,false,1,exact_native_plan,true
learned_markov_14,native_ycsb_c_read_uniform,YCu,2,49cd0216a22c9045510185883208bc245a8cd7e801d831e16a78673548924957,14,14,0,false,2,exact_native_plan,true
learned_markov_14,native_ycsb_c_read_uniform,YCu,3,77664f75091d9d28c1beae035098b948bd933451ad83b925d581bf444bff62bb,14,14,0,false,3,exact_native_plan,true
learned_markov_14,native_ycsb_c_read_zipf,YC,1,b47f4c95b55578a34c750905d1f6add40f37232d9aa387c492c9d694c5d4b3f6,14,13,1,false,1,exact_native_plan,true
learned_markov_14,native_ycsb_c_read_zipf,YC,2,b47f4c95b55578a34c750905d1f6add40f37232d9aa387c492c9d694c5d4b3f6,14,13,1,false,2,exact_native_plan,true
learned_markov_14,native_ycsb_c_read_zipf,YC,3,b47f4c95b55578a34c750905d1f6add40f37232d9aa387c492c9d694c5d4b3f6,14,13,1,false,3,exact_native_plan,true
learned_markov_14,read_tail_hit_20k,C_hit,1,27ed80b07e89cb3a38485b5674ae97170321ee42605c2e064df0404b5db17ab0,14,3,11,false,1,exact_native_plan,true
learned_markov_14,read_tail_hit_20k,C_hit,2,27ed80b07e89cb3a38485b5674ae97170321ee42605c2e064df0404b5db17ab0,14,3,11,false,2,exact_native_plan,true
learned_markov_14,read_tail_hit_20k,C_hit,3,27ed80b07e89cb3a38485b5674ae97170321ee42605c2e064df0404b5db17ab0,14,3,11,false,3,exact_native_plan,true
learned_markov_28,native_ycsb_c_hot_hashed_01,YCh01,1,4cb5ae521d7159f7f5b5f620b7329834cc11f10dbd430d88031e576b73eab056,28,28,0,false,1,exact_native_plan,true
learned_markov_28,native_ycsb_c_hot_hashed_01,YCh01,2,4cb5ae521d7159f7f5b5f620b7329834cc11f10dbd430d88031e576b73eab056,28,28,0,false,2,exact_native_plan,true
learned_markov_28,native_ycsb_c_hot_hashed_01,YCh01,3,4cb5ae521d7159f7f5b5f620b7329834cc11f10dbd430d88031e576b73eab056,28,28,0,false,3,exact_native_plan,true
learned_markov_28,native_ycsb_c_read_uniform,YCu,1,211072e8437856e3b6c9e797dac6086999a84b718688e35929b2819806cecb37,28,28,0,false,1,exact_native_plan,true
learned_markov_28,native_ycsb_c_read_uniform,YCu,2,c4df00f27a0d8036c836a909db5cbf2008cb7ead361e51c00c43079510cb7125,28,28,0,false,2,exact_native_plan,true
learned_markov_28,native_ycsb_c_read_uniform,YCu,3,23f26130a0579c4b1c77c8eb73544703429b36fe11fa1ca5d6b12e18460f8506,28,28,0,false,3,exact_native_plan,true
learned_markov_28,read_tail_hit_20k,C_hit,1,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,1,exact_native_plan,true
learned_markov_28,read_tail_hit_20k,C_hit,2,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,2,exact_native_plan,true
learned_markov_28,read_tail_hit_20k,C_hit,3,5c4caac439f8c171c434e44c570dc4515cbb684183ec768698fe538ff17870af,28,3,25,false,3,exact_native_plan,true
learned_markov_28,read_tail_mixed_20k,C,1,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,1,exact_native_plan,true
learned_markov_28,read_tail_mixed_20k,C,2,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,2,exact_native_plan,true
learned_markov_28,read_tail_mixed_20k,C,3,8ffdc0fcf1045e1a0e6731788887a7b7407f576b1f492cc304f2430b8655dbc7,28,2,26,false,3,exact_native_plan,true
