workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,536.12,602.62,492.45,34.42,100.0,279.90,195.42,84.72,,,817.03,620.12,0.0
A,orig,2d,async_bulk,5,128,565.62,594.33,522.78,25.53,100.0,278.39,194.44,21.08,61.41,13.00,845.88,587.47,0.0
A,orig,2d,async_win,10,128,589.44,598.07,496.99,35.05,100.0,279.96,196.23,21.75,61.44,13.00,866.76,611.57,0.0
A,orig,2d,pread,5,128,564.48,566.09,529.33,17.41,100.0,1926.60,195.26,1732.11,,,2491.08,2296.59,0.0
A,orig,2e_K10,async,10,128,558.84,591.24,521.26,21.94,100.0,292.72,195.81,97.05,,,850.85,656.05,0.0
A,orig,2e_K10,async_bulk,5,128,591.13,594.03,556.54,16.59,100.0,291.73,198.49,33.54,61.67,23.00,884.15,624.99,0.0
A,orig,2e_K10,async_win,10,128,577.10,593.89,494.39,31.72,100.0,292.23,196.34,33.49,62.01,23.00,869.40,612.23,0.0
A,orig,2e_K10,pread,5,128,559.96,595.50,492.95,39.85,100.0,2766.15,196.52,2570.12,,,3324.51,3130.08,0.0
A,orig,2e_K500,async,10,128,712.32,716.87,590.14,36.86,100.0,1040.18,195.82,845.19,,,1753.99,1559.15,0.0
A,orig,2e_K500,async_bulk,5,128,715.48,720.06,642.28,29.26,100.0,976.34,196.18,688.20,89.67,446.00,1675.80,1391.31,0.0
A,orig,2e_K500,async_win,10,128,712.14,717.92,586.45,41.54,100.0,958.60,194.75,675.83,90.66,446.00,1672.80,1388.38,0.0
A,orig,2e_K500,pread,5,128,533.93,537.45,523.44,4.96,100.0,22262.43,194.43,22067.19,,,22786.57,22592.20,0.0
A,orig,2f_slru,async,10,128,97.30,102.46,95.17,2.54,100.0,7214.32,195.26,7020.60,,,7315.23,7121.51,0.0
A,orig,2f_slru,async_bulk,5,128,833.02,839.96,766.25,28.08,1.4,652.78,195.81,79.88,374.92,2.00,1478.93,912.90,0.0
A,orig,2f_slru,async_win,10,128,96.35,98.12,95.81,0.84,84.4,2502.78,196.25,1935.91,371.95,139.00,2600.19,2032.67,0.0
A,orig,2f_slru,pread,5,128,96.25,98.45,94.59,1.54,100.0,18257.97,196.30,18062.58,,,18356.53,18161.14,0.0
A,orig,2f_top100,async,10,128,591.94,599.12,523.29,27.68,100.0,392.88,195.99,196.63,,,987.12,790.88,0.0
A,orig,2f_top100,async_bulk,5,128,595.06,596.32,588.72,2.82,100.0,382.19,195.79,118.26,65.65,98.00,977.15,714.71,0.0
A,orig,2f_top100,async_win,10,128,594.04,598.11,522.21,21.87,100.0,383.62,195.18,121.88,65.63,98.00,977.95,717.12,0.0
A,orig,2f_top100,pread,5,128,592.04,600.56,587.46,5.15,100.0,9055.34,195.35,8861.42,,,9642.80,9448.88,0.0
A,orig,2f_top14,async,10,128,588.85,593.65,527.28,28.49,100.0,274.78,195.62,78.81,,,861.68,667.37,0.0
A,orig,2f_top14,async_bulk,5,128,591.21,597.89,565.80,11.41,100.0,277.37,195.77,19.66,61.11,13.00,866.21,610.79,0.0
A,orig,2f_top14,async_win,10,128,530.09,591.05,491.05,30.87,100.0,276.78,195.36,20.08,60.81,13.00,806.89,549.63,0.0
A,orig,2f_top14,pread,5,128,593.08,594.66,521.78,28.68,100.0,1455.63,195.14,1261.63,,,2034.75,1839.04,0.0
A,orig,2f_top28,async,10,128,566.17,590.46,494.33,27.61,100.0,294.71,195.62,98.13,,,860.82,663.13,0.0
A,orig,2f_top28,async_bulk,5,128,562.57,585.03,500.05,29.76,100.0,292.75,195.27,35.28,62.17,27.00,856.44,597.00,0.0
A,orig,2f_top28,async_win,10,128,563.58,595.11,526.37,19.61,100.0,293.83,195.65,35.53,61.92,27.00,858.89,601.75,0.0
