workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,ta,2e_K500,async,e2e_us,10,57.95,59.52,37.79,77.75,3.63,111.25,10/10,robust,seed01=55.7;seed02=93.0;seed03=111.2;seed04=33.6;seed05=52.3;seed06=3.6;seed07=63.3;seed08=82.9;seed09=71.7;seed10=12.1
A,ta,2e_K500,async,e2e_warm_us,10,38.81,38.07,20.13,57.49,-10.99,87.6,8/10,robust,seed01=30.8;seed02=74.0;seed03=87.6;seed04=18.5;seed05=29.1;seed06=-11.0;seed07=45.3;seed08=65.5;seed09=50.9;seed10=-2.6
A,ta,2e_K500,async,first_query_us,10,-50.76,-56.36,-66.03,-34.66,-79.85,-10.75,10/10,robust,seed01=-72.8;seed02=-23.2;seed03=-10.7;seed04=-43.7;seed05=-74.2;seed06=-79.9;seed07=-28.3;seed08=-27.2;seed09=-69.0;seed10=-78.5
A,ta,2e_K500,pread,e2e_us,10,2098.12,2200.72,1849.95,2337.98,1533.07,2676.59,10/10,robust,seed01=2549.7;seed02=2374.2;seed03=2270.2;seed04=1533.1;seed05=2392.1;seed06=1594.8;seed07=1677.3;seed08=2131.2;seed09=2676.6;seed10=1782.1
A,ta,2e_K500,pread,e2e_warm_us,10,2079.42,2180.69,1833.96,2316.79,1518.18,2655.63,10/10,robust,seed01=2524.8;seed02=2355.4;seed03=2246.6;seed04=1518.2;seed05=2368.0;seed06=1580.2;seed07=1663.2;seed08=2114.8;seed09=2655.6;seed10=1767.4
A,ta,2e_K500,pread,first_query_us,10,-61.81,-72.53,-73.05,-49.36,-83.13,-27.66,10/10,robust,seed01=-74.3;seed02=-27.7;seed03=-75.6;seed04=-49.9;seed05=-75.1;seed06=-83.1;seed07=-45.0;seed08=-35.5;seed09=-70.8;seed10=-81.2
A,ta,leaf_freq_K500,async,e2e_us,10,116.87,108.14,93.97,147.67,70.77,239.27,10/10,robust,seed01=95.5;seed02=127.5;seed03=136.3;seed04=83.7;seed05=86.8;seed06=239.3;seed07=107.4;seed08=108.8;seed09=112.5;seed10=70.8
A,ta,leaf_freq_K500,async,e2e_warm_us,10,98.56,91.51,75.46,130.25,56.25,224.78,10/10,robust,seed01=70.4;seed02=108.1;seed03=117.7;seed04=68.7;seed05=63.3;seed06=224.8;seed07=93.5;seed08=91.3;seed09=91.7;seed10=56.2
A,ta,leaf_freq_K500,async,first_query_us,10,2.79,-3.42,-25.11,42.36,-46.86,162.32,6/10,tie,seed01=-44.8;seed02=1.1;seed03=11.8;seed04=-0.0;seed05=-46.9;seed06=162.3;seed07=11.4;seed08=-6.8;seed09=-31.6;seed10=-28.5
A,ta,leaf_freq_K500,pread,e2e_us,10,2435.75,2459.49,2111.88,2735.5,1572.85,3086.79,10/10,robust,seed01=2943.8;seed02=2338.2;seed03=2410.5;seed04=1572.8;seed05=3031.2;seed06=1800.8;seed07=2744.7;seed08=2508.5;seed09=3086.8;seed10=1920.3
A,ta,leaf_freq_K500,pread,e2e_warm_us,10,2417.54,2441.62,2095.58,2715.07,1557.98,3065.38,10/10,robust,seed01=2918.9;seed02=2319.5;seed03=2392.0;seed04=1558.0;seed05=3007.6;seed06=1786.3;seed07=2730.6;seed08=2491.2;seed09=3065.4;seed10=1905.9
A,ta,leaf_freq_K500,pread,first_query_us,10,-23.66,-31.09,-34.79,-11.53,-46.82,7.5,8/10,robust,seed01=-34.8;seed02=7.5;seed03=-41.5;seed04=-14.5;seed05=-38.0;seed06=-46.8;seed07=-2.8;seed08=1.3;seed09=-27.4;seed10=-39.4
A,ta,leaf_rand_K500,async,e2e_us,10,126.39,129.75,110.37,141.63,81.05,168.45,10/10,robust,seed01=146.7;seed02=136.0;seed03=136.1;seed04=81.1;seed05=153.9;seed06=98.1;seed07=111.6;seed08=123.5;seed09=168.5;seed10=108.5
A,ta,leaf_rand_K500,async,e2e_warm_us,10,108.09,111.58,93.89,121.66,65.99,147.45,10/10,robust,seed01=121.6;seed02=117.0;seed03=117.4;seed04=66.0;seed05=130.3;seed06=83.6;seed07=97.6;seed08=106.1;seed09=147.4;seed10=93.9
A,ta,leaf_rand_K500,async,first_query_us,10,1.43,2.39,-1.88,4.8,-8.0,11.49,7/10,directional,seed01=-2.5;seed02=2.4;seed03=2.5;seed04=-8.0;seed05=6.6;seed06=4.3;seed07=11.5;seed08=-5.5;seed09=2.4;seed10=0.7
A,ta,leaf_rand_K500,pread,e2e_us,10,5395.96,5680.33,4755.49,6031.53,3846.95,7201.04,10/10,robust,seed01=6355.4;seed02=5958.3;seed03=5908.4;seed04=3846.9;seed05=6042.7;seed06=4096.1;seed07=4386.8;seed08=5452.3;seed09=7201.0;seed10=4711.6
A,ta,leaf_rand_K500,pread,e2e_warm_us,10,5377.34,5662.31,4738.45,6012.3,3831.72,7180.21,10/10,robust,seed01=6327.1;seed02=5939.5;seed03=5889.8;seed04=3831.7;seed05=6018.9;seed06=4081.7;seed07=4372.9;seed08=5434.8;seed09=7180.2;seed10=4696.8
A,ta,leaf_rand_K500,pread,first_query_us,10,1.77,1.96,-1.46,5.32,-7.24,11.67,6/10,tie,seed01=-2.3;seed02=3.1;seed03=2.3;seed04=-7.2;seed05=10.0;seed06=2.8;seed07=11.7;seed08=-1.3;seed09=1.6;seed10=-3.0
