workload,layout,checkpoint,strategy,first_query_us
YD,orig,0,baseline,543.51
YD,orig,0,2e_K10_static,90.47
YD,orig,0,layers_92_static,227.05
YD,orig,1,baseline,601.82
YD,orig,1,2e_K10_static,430.38
YD,orig,1,layers_92_static,252.80
YD,orig,2,baseline,544.53
YD,orig,2,2e_K10_static,452.75
YD,orig,2,layers_92_static,258.85
YD,orig,3,baseline,542.81
YD,orig,3,2e_K10_static,468.97
YD,orig,3,layers_92_static,257.58
YD,orig,4,baseline,554.82
YD,orig,4,2e_K10_static,412.08
YD,orig,4,layers_92_static,233.09
YD,orig,5,baseline,545.50
YD,orig,5,2e_K10_static,431.21
YD,orig,5,layers_92_static,252.81
YD,orig,6,baseline,582.19
YD,orig,6,2e_K10_static,416.81
YD,orig,6,layers_92_static,252.38
YD,orig,7,baseline,545.19
YD,orig,7,2e_K10_static,385.22
YD,orig,7,layers_92_static,216.19
YD,orig,8,baseline,558.12
YD,orig,8,2e_K10_static,257.63
YD,orig,8,layers_92_static,213.18
YD,orig,9,baseline,618.41
YD,orig,9,2e_K10_static,445.48
YD,orig,9,layers_92_static,267.88
YD,orig,10,baseline,618.39
YD,orig,10,2e_K10_static,450.66
YD,orig,10,layers_92_static,269.48
YE,orig,0,baseline,520.94
YE,orig,0,2e_K10_static,253.13
YE,orig,0,layers_92_static,254.41
YE,orig,1,baseline,516.89
YE,orig,1,2e_K10_static,255.30
YE,orig,1,layers_92_static,258.68
YE,orig,2,baseline,494.18
YE,orig,2,2e_K10_static,254.73
YE,orig,2,layers_92_static,267.69
YE,orig,3,baseline,523.35
YE,orig,3,2e_K10_static,255.97
YE,orig,3,layers_92_static,254.71
YE,orig,4,baseline,530.27
YE,orig,4,2e_K10_static,253.93
YE,orig,4,layers_92_static,252.11
YE,orig,5,baseline,546.79
YE,orig,5,2e_K10_static,257.39
YE,orig,5,layers_92_static,261.37
YE,orig,6,baseline,580.68
YE,orig,6,2e_K10_static,91.80
YE,orig,6,layers_92_static,262.19
YE,orig,7,baseline,337.22
YE,orig,7,2e_K10_static,324.52
YE,orig,7,layers_92_static,285.80
YE,orig,8,baseline,367.53
YE,orig,8,2e_K10_static,255.40
YE,orig,8,layers_92_static,251.87
YE,orig,9,baseline,524.12
YE,orig,9,2e_K10_static,264.31
YE,orig,9,layers_92_static,287.81
YE,orig,10,baseline,512.09
YE,orig,10,2e_K10_static,267.88
YE,orig,10,layers_92_static,269.78
